#{"t_start": 1555632639.1857374, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,1097,9.621417
-21.0,859,15.588168
-21.0,759,21.199974
-20.0,836,27.576566
-21.0,817,33.305328
-21.0,821,39.197742
-18.0,1008,46.415949
-20.0,1075,54.080672
-20.0,898,60.487806
-20.0,865,66.64377
-21.0,904,72.829239
-21.0,791,78.50968
-21.0,885,84.931242
-21.0,881,90.971791
-20.0,900,97.458858
-20.0,836,103.443215
-19.0,964,110.434108
-20.0,863,116.649187
-18.0,1140,124.684905
-20.0,895,131.144251
-21.0,881,137.322385
-21.0,913,143.866048
-19.0,946,150.651713
-20.0,988,157.753162
-20.0,915,164.656844
-18.0,1057,172.288711
-21.0,925,179.050618
-19.0,1022,186.468961
-19.0,1035,193.933611
-21.0,967,201.02699
-19.0,949,208.036497
-20.0,1154,216.593233
-20.0,998,223.982629
-18.0,1100,232.353668
-21.0,835,239.008528
-21.0,804,245.33853
-21.0,831,251.271624
-19.0,1047,258.921566
-21.0,926,265.71096
-19.0,964,272.740458
-21.0,900,279.385314
-20.0,1032,286.931127
-19.0,1051,294.618088
-20.0,1103,302.730428
-18.0,1345,312.739021
-17.0,1447,323.397689
-19.0,1519,334.665806
-19.0,1445,345.308627
-18.0,1388,355.237826
-19.0,1213,364.399887
-16.0,1646,376.356692
-20.0,1487,387.25366
-18.0,1707,400.01466
-19.0,1620,411.825579
-17.0,1775,424.625104
-19.0,1765,438.525004
-13.0,1992,454.235668
-12.0,2456,472.738814
-13.0,2240,489.207392
-16.0,2188,505.779238
-6.0,3308,530.268095
-19.0,1839,544.087978
-18.0,2352,561.758369
-8.0,2543,580.657794
-7.0,2870,601.917742
-2.0,3388,627.258641
-18.0,1687,640.262077
-18.0,1628,652.422731
