#{"t_start": 1555632639.1715343, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,841,7.669366
-19.0,943,14.280211
-21.0,899,20.96652
-21.0,763,26.68476
-20.0,954,33.548698
-20.0,935,40.259694
-20.0,1038,47.609118
-20.0,899,54.095276
-21.0,778,59.693447
-21.0,837,65.475431
-18.0,1091,73.107807
-21.0,824,79.010266
-21.0,791,84.785031
-20.0,916,91.092061
-20.0,916,97.668417
-21.0,883,103.977889
-21.0,778,109.676463
-20.0,871,115.737972
-21.0,822,121.647374
-18.0,1105,129.501878
-21.0,910,136.146386
-20.0,1004,143.277266
-21.0,864,149.554239
-20.0,834,155.347889
-21.0,882,162.032176
-21.0,789,167.853341
-21.0,869,173.948705
-21.0,824,180.037436
-20.0,1051,187.632374
-20.0,879,194.033009
-21.0,777,199.818665
-19.0,974,206.69458
-19.0,1016,214.317489
-20.0,867,220.833596
-21.0,931,227.761567
-21.0,878,234.762742
-19.0,996,242.613121
-21.0,952,249.70821
-17.0,1181,258.220879
-21.0,984,265.440678
-17.0,1316,275.145473
-19.0,1079,282.981665
-18.0,1157,291.384594
-21.0,1015,298.859064
-20.0,1038,306.521854
-19.0,1114,314.629261
-17.0,1186,323.56905
-20.0,879,330.126296
-17.0,1574,341.717144
-18.0,1337,351.331127
-18.0,1474,362.200419
-17.0,1747,375.19008
-14.0,1883,389.026316
-19.0,1495,400.069601
-18.0,2156,415.729906
-20.0,1969,430.550543
-17.0,1770,444.226975
-15.0,2161,461.154809
-12.0,2241,477.676438
-18.0,1911,492.052824
-11.0,2375,509.860417
-14.0,2553,528.933065
-18.0,1683,541.285014
-16.0,2242,558.181849
-10.0,2727,578.362248
-18.0,1900,592.671517
-6.0,3386,618.107812
-17.0,2042,633.409118
-15.0,2196,649.698935
-10.0,2751,670.709479
