#{"t_start": 1555632639.1568134, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,821,7.510075
-21.0,836,13.401554
-21.0,757,18.869137
-21.0,899,25.736114
-21.0,759,31.284185
-21.0,763,36.591208
-20.0,987,43.684266
-21.0,1029,51.030298
-21.0,880,57.37499
-20.0,834,63.297171
-20.0,836,69.072179
-21.0,899,75.47632
-21.0,823,81.405447
-20.0,878,87.55954
-20.0,841,93.597595
-20.0,901,100.050245
-19.0,974,107.033045
-20.0,1040,114.441379
-20.0,969,121.297672
-21.0,838,127.370806
-21.0,1004,134.604333
-21.0,821,140.347804
-20.0,899,146.819988
-20.0,985,153.885367
-21.0,871,160.407629
-18.0,1275,169.522869
-20.0,986,176.678838
-21.0,787,182.529803
-19.0,967,189.544068
-21.0,845,195.542909
-19.0,935,202.370441
-21.0,900,209.015929
-21.0,991,216.489361
-19.0,1025,224.087711
-19.0,1049,232.049139
-19.0,1179,241.597684
-20.0,1047,249.361355
-18.0,1023,256.84895
-21.0,879,263.026806
-18.0,1254,272.314275
-19.0,1180,280.85095
-19.0,1221,290.012412
-17.0,1368,299.841349
-21.0,1019,307.374529
-19.0,1069,315.534536
-21.0,1071,323.31914
-18.0,1169,331.884965
-21.0,1027,339.432271
-20.0,1337,349.365544
-20.0,1235,358.269215
-19.0,1499,369.265622
-18.0,1418,379.733932
-20.0,1470,390.541783
-16.0,1703,402.87683
-17.0,1960,417.297549
-18.0,1871,431.579367
-12.0,2076,447.765239
-15.0,2062,463.504386
-10.0,2487,482.054662
-12.0,2607,501.843505
-10.0,2774,522.281498
-17.0,2033,537.401331
-18.0,1514,548.700164
-16.0,1952,563.338227
-8.0,2584,582.5423
-9.0,2442,600.950282
-4.0,3113,624.031481
-19.0,1665,636.847258
-17.0,1942,651.575877
-9.0,2686,671.663787
