#{"t_start": 1555632639.179933, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,790,7.254229
-20.0,1062,14.810727
-21.0,820,20.867521
-19.0,1211,29.789001
-19.0,1161,38.233867
-21.0,791,43.786112
-21.0,902,50.247563
-21.0,781,55.983107
-20.0,895,62.111552
-20.0,938,68.728602
-20.0,1049,76.138876
-21.0,1190,84.754816
-21.0,948,91.515304
-20.0,943,98.06006
-20.0,952,104.897691
-20.0,929,111.575888
-21.0,876,117.86651
-21.0,882,124.180774
-21.0,776,129.59868
-21.0,820,135.636741
-20.0,929,142.280044
-21.0,864,148.305928
-20.0,1008,155.497984
-21.0,847,161.92536
-19.0,1059,169.550251
-17.0,1137,177.978602
-21.0,823,183.784615
-20.0,943,190.635415
-21.0,781,196.508733
-20.0,852,202.505268
-20.0,1067,210.389828
-19.0,1138,219.054444
-19.0,1003,226.533885
-20.0,952,233.90646
-20.0,1089,242.483812
-20.0,941,249.491656
-19.0,1248,258.484971
-19.0,1202,267.453437
-20.0,1010,274.784588
-18.0,1221,283.613513
-19.0,1270,293.089639
-20.0,1095,301.107781
-21.0,1048,308.801126
-14.0,1375,318.974273
-19.0,1371,328.867632
-16.0,1734,341.882709
-19.0,1398,352.238044
-20.0,1272,361.406173
-17.0,1650,373.411889
-17.0,1622,385.546739
-19.0,1565,396.970202
-15.0,1802,409.971879
-12.0,2379,427.794819
-12.0,2186,444.697316
-20.0,1986,459.965591
-11.0,2631,479.97598
-17.0,2112,495.700556
-11.0,2190,511.843037
-18.0,1816,525.55855
-18.0,2190,541.735318
-17.0,2390,559.634259
-8.0,3039,582.285915
-12.0,2325,599.897724
-9.0,3253,623.916014
-5.0,2939,646.04024
-8.0,2593,665.568
