#{"t_start": 1555632639.1953015, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,989,8.686697
-21.0,864,14.816178
-18.0,1009,22.372354
-21.0,764,28.087398
-19.0,936,34.770554
-21.0,840,40.689574
-20.0,1099,48.44155
-20.0,956,55.319502
-20.0,835,61.288197
-20.0,861,67.431199
-21.0,778,72.75278
-20.0,927,79.349732
-21.0,821,85.348236
-21.0,886,91.69559
-21.0,908,97.968361
-21.0,912,104.500627
-21.0,823,110.51975
-21.0,787,115.973652
-21.0,817,121.857423
-21.0,1093,129.641495
-21.0,944,136.485616
-19.0,1135,144.507647
-21.0,884,150.891272
-21.0,917,157.484335
-21.0,970,164.772859
-20.0,1024,172.169107
-20.0,962,179.196848
-21.0,810,184.889035
-20.0,882,191.317348
-20.0,834,197.564842
-20.0,831,203.696741
-18.0,1592,215.516256
-18.0,1118,223.689871
-21.0,909,230.720139
-21.0,980,238.421181
-20.0,1047,246.430917
-19.0,980,253.653651
-20.0,1051,261.297521
-20.0,982,268.485648
-17.0,1242,277.377337
-18.0,1299,287.054594
-17.0,1287,296.657452
-20.0,955,303.445203
-17.0,1176,312.291004
-19.0,1264,321.402641
-19.0,999,328.757977
-19.0,1394,339.154195
-18.0,1443,349.836093
-20.0,1355,359.862185
-18.0,1522,371.043499
-18.0,1572,382.472092
-15.0,2152,398.164148
-20.0,1482,409.054426
-20.0,1570,420.552596
-15.0,1932,435.390158
-19.0,1574,447.702711
-19.0,1970,462.826295
-20.0,1859,476.803972
-19.0,2136,492.681239
-18.0,1932,507.084481
-14.0,2448,525.405135
-20.0,1719,538.005313
-16.0,2266,555.099189
-8.0,2706,575.187911
-13.0,2325,592.73301
-15.0,2158,608.75967
-7.0,2944,630.832124
-6.0,2708,651.474733
