#{"t_start": 1555632639.187347, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1002,8.790292
-21.0,883,15.062019
-21.0,764,20.685701
-19.0,1011,28.328974
-21.0,822,34.074244
-20.0,837,40.112943
-21.0,782,45.786035
-20.0,841,51.672269
-20.0,899,58.095095
-20.0,839,64.068549
-20.0,954,70.784891
-21.0,789,76.280091
-21.0,852,82.399068
-20.0,895,88.864495
-21.0,777,94.301627
-20.0,1051,101.676347
-20.0,836,107.77545
-21.0,902,114.259381
-20.0,895,120.661194
-21.0,953,127.480591
-21.0,790,133.032142
-21.0,1087,140.807449
-20.0,918,147.403895
-21.0,840,153.472207
-20.0,915,160.287079
-21.0,820,166.165892
-20.0,929,172.903512
-21.0,894,179.455144
-19.0,939,186.278381
-21.0,941,193.102114
-21.0,785,198.710576
-19.0,935,205.552272
-18.0,1021,213.182274
-19.0,1041,220.932159
-21.0,943,227.94357
-21.0,879,234.9746
-20.0,1030,243.008982
-19.0,1189,251.717532
-19.0,931,258.571737
-19.0,1067,266.311057
-19.0,1074,274.029315
-17.0,1370,284.199942
-21.0,878,290.721474
-18.0,1456,301.499893
-20.0,1120,309.652842
-20.0,1110,317.730606
-20.0,1410,328.168098
-19.0,1252,337.639995
-20.0,1226,346.488862
-20.0,1209,355.23615
-19.0,1667,367.721219
-19.0,1649,379.701521
-15.0,1912,393.754757
-19.0,1635,405.674548
-18.0,2089,420.996197
-13.0,2018,436.453202
-19.0,1608,449.361567
-15.0,2260,466.425548
-18.0,1952,480.975781
-18.0,1385,491.441559
-20.0,2324,508.479878
-20.0,1845,522.372152
-19.0,2352,540.006552
-16.0,1922,554.394303
-18.0,1933,568.962317
-10.0,2977,590.775553
-21.0,1867,604.926053
-9.0,3067,627.728457
-8.0,2600,647.659458
-10.0,2376,665.247012
