#{"t_start": 1555632639.1924806, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,1029,9.173188
-20.0,941,15.705791
-19.0,968,22.913407
-21.0,759,28.565688
-20.0,887,34.926656
-20.0,916,41.344639
-20.0,883,47.667989
-20.0,835,53.68755
-20.0,914,60.216752
-21.0,938,66.876743
-20.0,1129,74.787452
-21.0,787,80.215942
-20.0,839,86.339488
-21.0,823,92.287115
-20.0,951,99.036709
-21.0,818,104.745965
-20.0,913,111.342569
-21.0,900,117.774786
-20.0,837,123.779507
-21.0,974,130.775831
-19.0,959,137.490376
-20.0,1074,145.357727
-21.0,760,150.644879
-20.0,887,157.063399
-19.0,992,164.474386
-19.0,1117,172.536379
-21.0,854,178.806128
-19.0,1057,186.462677
-20.0,1004,193.703387
-21.0,822,199.831561
-19.0,980,206.731326
-21.0,900,213.514976
-21.0,846,219.929209
-20.0,1151,228.431561
-20.0,994,236.29161
-20.0,945,243.631902
-21.0,946,250.693995
-20.0,1074,258.512411
-20.0,919,265.257936
-18.0,1233,274.074298
-18.0,1358,284.141478
-17.0,1117,292.278953
-21.0,925,299.134924
-19.0,1177,308.040303
-19.0,1395,318.011144
-19.0,1279,327.578282
-17.0,1465,338.489609
-18.0,1505,349.558548
-18.0,1403,359.932214
-17.0,1760,372.706679
-19.0,1636,384.533239
-15.0,1895,398.525455
-17.0,1966,413.004397
-15.0,2001,427.953569
-18.0,1659,440.646483
-21.0,1433,452.024069
-10.0,2334,469.784132
-20.0,1514,481.031599
-15.0,2067,496.439388
-13.0,2180,512.947343
-18.0,2006,527.936122
-20.0,1755,540.758344
-10.0,2804,561.892292
-13.0,2666,581.600232
-20.0,1695,594.147584
-16.0,2413,612.258563
-10.0,2715,632.892936
-15.0,1909,646.802159
-15.0,2025,662.07227
