#{"t_start": 1555632639.2056339, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,786,7.189643
-21.0,791,12.809649
-21.0,764,18.318767
-19.0,1014,26.026521
-21.0,965,32.956661
-21.0,815,38.807138
-20.0,961,45.717074
-18.0,1231,54.432945
-21.0,779,60.025161
-21.0,860,65.954427
-20.0,1084,73.77827
-21.0,929,80.128395
-20.0,946,86.982551
-19.0,1005,94.167999
-20.0,837,100.182241
-21.0,851,106.34234
-21.0,1014,113.561921
-21.0,840,119.377614
-21.0,939,126.048229
-20.0,839,132.16381
-21.0,822,138.197485
-21.0,929,144.619571
-21.0,1004,151.771004
-19.0,936,158.562701
-19.0,980,165.926549
-21.0,827,171.931344
-20.0,903,178.549028
-21.0,850,184.525583
-21.0,849,190.770868
-21.0,818,196.902934
-21.0,876,203.045709
-21.0,811,209.111715
-18.0,1281,218.819437
-21.0,839,224.875195
-20.0,958,232.217207
-18.0,1054,240.508875
-20.0,959,247.781889
-19.0,930,254.648258
-16.0,1350,264.595696
-20.0,893,271.1495
-19.0,1123,279.28952
-20.0,974,286.472022
-20.0,1095,294.438182
-18.0,1218,303.342929
-18.0,1356,313.388268
-20.0,1034,320.978822
-20.0,1018,328.42521
-21.0,1274,338.052065
-19.0,1226,346.902904
-17.0,1302,356.620634
-19.0,1704,368.96664
-19.0,1519,380.120104
-19.0,1441,390.723095
-16.0,1858,404.436955
-17.0,1979,419.010634
-19.0,1566,430.824914
-15.0,1967,446.247682
-15.0,1925,461.159141
-21.0,1448,472.07144
-18.0,1920,485.987366
-12.0,2311,503.363591
-7.0,2913,525.166893
-16.0,2143,541.049965
-10.0,2861,562.550383
-20.0,1726,575.234586
-11.0,2440,593.53161
-7.0,2982,615.823865
-13.0,2110,631.570012
-7.0,2552,650.674645
-12.0,2355,668.56396
