#{"t_start": 1555632639.1855428, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,872,7.869478
-20.0,936,14.454605
-21.0,764,20.1532
-21.0,758,25.831984
-21.0,925,32.518229
-20.0,1000,39.675941
-20.0,1005,46.837729
-19.0,1087,54.599145
-21.0,910,61.056692
-21.0,817,66.92573
-20.0,952,73.621572
-20.0,955,80.176736
-21.0,787,85.948497
-20.0,853,92.105347
-21.0,936,98.770467
-20.0,835,104.565915
-17.0,1297,113.952561
-20.0,838,119.764256
-20.0,836,125.739614
-20.0,1022,133.128579
-19.0,985,140.186707
-21.0,840,146.270755
-20.0,837,152.340843
-21.0,960,159.053954
-20.0,860,165.568521
-19.0,1053,173.172914
-20.0,837,179.321126
-20.0,892,185.833119
-20.0,956,192.756107
-20.0,840,198.757873
-20.0,866,205.118324
-17.0,1208,214.006472
-21.0,883,220.67357
-20.0,1036,228.374679
-19.0,972,236.063497
-18.0,1262,245.937558
-19.0,967,253.081318
-21.0,847,259.104563
-20.0,1086,266.943528
-21.0,932,273.731466
-18.0,1043,281.379802
-19.0,995,288.689573
-20.0,992,295.982359
-20.0,883,302.585955
-20.0,1018,310.076717
-19.0,1234,319.311617
-18.0,1491,330.33774
-20.0,1401,340.427526
-19.0,1380,350.671191
-17.0,1484,361.588112
-19.0,1348,371.605843
-20.0,1690,383.778975
-20.0,1719,396.604942
-16.0,1883,410.173641
-20.0,1418,420.651133
-16.0,1935,435.533629
-20.0,1552,447.649971
-21.0,1478,458.987196
-20.0,1835,473.000909
-17.0,1860,486.952844
-15.0,2390,504.424821
-11.0,2515,523.162306
-16.0,1997,538.052235
-15.0,1917,552.383282
-18.0,1987,567.28581
-7.0,2866,588.797245
-19.0,1702,601.460479
-13.0,2349,619.092887
-11.0,2463,637.591049
-6.0,2558,656.798209
