#{"t_start": 1555632639.2009802, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,930,8.269129
-20.0,980,15.228357
-21.0,823,21.344341
-21.0,757,26.960576
-21.0,759,32.449671
-21.0,789,38.153516
-21.0,843,44.078849
-21.0,761,49.566993
-20.0,841,55.478945
-20.0,901,61.876482
-21.0,846,67.91227
-20.0,916,74.400695
-21.0,847,80.256114
-21.0,782,85.981462
-20.0,836,91.989815
-21.0,913,98.294686
-20.0,841,104.340762
-21.0,817,110.296106
-20.0,926,116.946204
-21.0,789,122.419791
-21.0,869,128.662376
-21.0,817,134.653483
-21.0,792,140.189014
-21.0,778,145.84704
-21.0,878,151.93702
-20.0,1018,159.339654
-21.0,849,165.742476
-20.0,884,172.140596
-20.0,1077,179.97719
-20.0,906,186.600352
-21.0,869,192.911018
-19.0,1054,200.607954
-21.0,883,207.142732
-20.0,955,214.029969
-20.0,1005,221.521336
-20.0,957,228.719019
-21.0,876,235.685872
-20.0,1065,243.904114
-19.0,1320,253.807598
-20.0,975,260.928495
-20.0,943,267.843369
-20.0,986,275.029972
-20.0,850,281.045552
-19.0,1137,289.609179
-18.0,1250,298.649709
-19.0,1118,306.865347
-19.0,1078,314.743254
-18.0,1148,323.400251
-17.0,1313,332.933185
-19.0,1731,345.823553
-19.0,1618,357.635932
-15.0,1857,371.41789
-20.0,1658,383.389408
-19.0,1555,394.787223
-20.0,1918,408.912488
-16.0,2120,424.422365
-20.0,1804,438.606956
-20.0,1429,449.872248
-17.0,1735,462.982694
-21.0,2031,478.082182
-18.0,1854,492.080039
-14.0,2027,507.144605
-11.0,2455,525.511879
-20.0,1946,540.039338
-18.0,1694,552.479774
-17.0,2128,568.305267
-7.0,2744,589.040688
-18.0,2038,604.306749
-16.0,1952,618.891406
-1.0,3411,644.525728
-10.0,2338,661.882338
