#{"t_start": 1555632639.1751666, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,936,8.345469
-20.0,896,14.646321
-21.0,757,20.291932
-21.0,759,25.985507
-21.0,757,31.510569
-20.0,893,37.668884
-21.0,823,43.643491
-20.0,1095,51.487133
-21.0,884,57.838608
-20.0,841,63.80248
-21.0,847,69.645101
-21.0,806,75.404356
-21.0,842,81.494687
-21.0,823,87.24321
-21.0,758,92.751124
-21.0,931,99.376402
-21.0,822,105.130936
-20.0,1031,112.475842
-21.0,902,118.92592
-21.0,1025,126.195035
-21.0,943,132.998168
-20.0,831,139.087715
-21.0,1083,146.765622
-20.0,896,153.228132
-20.0,888,159.812372
-19.0,972,166.736424
-20.0,985,173.870433
-20.0,940,180.732281
-21.0,819,186.807107
-21.0,985,193.882717
-21.0,824,200.015961
-21.0,935,206.598691
-21.0,1016,214.221534
-18.0,1282,223.859089
-20.0,877,230.626098
-20.0,913,237.854975
-19.0,1212,247.021057
-20.0,897,253.67416
-18.0,1103,261.684751
-20.0,1166,270.059582
-21.0,918,276.815866
-19.0,1055,284.52505
-19.0,994,291.822815
-19.0,1145,300.50653
-20.0,840,306.478725
-18.0,1108,314.545229
-20.0,994,321.867793
-21.0,917,328.648291
-20.0,1217,337.879877
-17.0,1509,348.948998
-17.0,1569,360.477042
-18.0,1658,372.553259
-14.0,1914,386.624611
-21.0,1100,394.57377
-16.0,1897,408.573497
-16.0,2154,424.296001
-19.0,1931,439.401256
-18.0,1829,453.930712
-14.0,2269,470.807788
-16.0,1737,483.920569
-18.0,1667,496.245279
-18.0,2085,511.670449
-19.0,2087,527.222069
-18.0,2217,543.983489
-16.0,2362,561.718432
-20.0,1560,573.322947
-4.0,3131,596.661936
-11.0,2648,616.283299
-18.0,1659,629.00422
-7.0,2523,647.953893
-8.0,2872,669.251872
