#{"t_start": 1555632639.18359, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,896,8.035785
-20.0,944,14.712718
-21.0,799,20.612876
-21.0,760,26.34505
-21.0,881,32.690718
-21.0,940,39.433708
-21.0,808,45.259347
-20.0,974,52.08845
-21.0,777,57.673801
-20.0,983,64.636553
-21.0,906,71.027681
-20.0,835,76.826346
-21.0,790,82.545168
-21.0,818,88.46588
-21.0,876,94.578259
-19.0,1101,102.495379
-20.0,918,108.904785
-21.0,810,114.810456
-20.0,948,121.528109
-21.0,940,128.274324
-20.0,962,135.268352
-21.0,877,141.379858
-20.0,1101,149.410964
-21.0,757,154.717048
-21.0,1019,162.31781
-21.0,906,168.890428
-17.0,1154,177.159766
-21.0,863,183.500327
-20.0,841,189.6954
-21.0,939,196.61557
-21.0,790,202.155285
-20.0,973,209.378786
-20.0,1034,217.078225
-20.0,903,223.813729
-18.0,1122,232.33145
-21.0,991,240.142114
-19.0,1320,250.220343
-21.0,1038,257.747337
-21.0,832,263.965566
-19.0,1207,272.605977
-20.0,990,279.879027
-17.0,1185,288.441064
-19.0,1185,297.38589
-20.0,1045,305.080439
-20.0,958,312.145962
-19.0,1080,320.046772
-18.0,1272,329.239458
-19.0,1174,338.160827
-18.0,1507,349.209428
-17.0,1478,360.125752
-20.0,1320,369.565887
-16.0,1934,383.757447
-19.0,1712,396.535581
-19.0,1642,408.473398
-17.0,2145,424.124052
-16.0,1911,439.085106
-17.0,1868,453.886236
-19.0,1875,467.697383
-21.0,1531,479.462428
-14.0,2100,495.108248
-13.0,2268,511.764243
-16.0,2137,528.078166
-15.0,1943,542.154921
-9.0,2916,563.981379
-18.0,1857,577.935672
-4.0,3020,600.602836
-17.0,2399,618.567142
-9.0,2733,638.856531
-8.0,2646,659.122122
