#{"t_start": 1559817804.6299934, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
214,7997,39.055926
67,621,42.003461
647,3770,59.072282
92,546,61.484456
162,402,63.49334
919,3151,78.102951
1179,3803,95.070679
1163,3906,113.878078
588,978,117.8419
1236,2534,129.360444
241,201,130.198769
588,665,133.244797
215,288,134.421963
236,155,135.08941
1023,951,139.34614
1741,2292,148.810725
205,280,149.961282
251,123,150.400846
608,338,151.731726
1040,636,153.942301
229,205,154.755036
714,510,156.591422
970,1910,163.563171
241,145,164.253638
759,635,166.468844
247,125,166.930531
618,394,168.568744
237,161,169.189101
229,167,169.708533
613,386,171.085537
240,145,171.55503
230,173,172.127506
241,155,172.723727
242,159,173.270843
235,161,173.833103
247,123,174.251875
229,165,174.78196
241,201,175.481358
1328,866,178.652961
650,348,179.875966
628,661,182.160477
233,143,182.622925
240,139,183.035077
242,141,183.608648
628,398,185.031401
243,209,185.774366
632,589,187.946533
246,153,188.541544
649,374,189.920106
628,334,191.030024
639,569,193.086896
732,595,195.101532
624,376,196.335165
614,458,197.907365
618,354,199.107998
233,155,199.634898
1039,702,201.953543
619,382,203.340928
1052,813,206.057019
243,159,206.569677
252,121,207.034204
599,400,208.475997
235,147,208.953007
238,135,209.451282
248,135,210.000098
636,340,211.200417
652,318,212.25196
1033,693,214.500756
817,538,216.351597
1577,807,219.32952
245,133,219.795212
246,145,220.247418
224,189,220.88792
226,153,221.526302
619,358,222.749185
246,121,223.216113
615,378,224.489346
1041,541,226.338774
241,137,226.837861
1337,644,229.015733
1442,823,231.676899
247,129,232.179889
244,139,232.662402
626,390,233.942839
251,137,234.355625
240,169,234.912799
634,370,236.110511
615,380,237.411165
248,119,237.877073
246,133,238.35474
1032,945,241.393648
1335,827,243.896631
247,123,244.293347
1127,821,247.048843
1131,877,250.086033
651,332,251.142293
239,131,251.544138
245,127,252.019473
248,125,252.391923
1343,685,254.40226
1040,667,256.385106
227,173,257.079652
1331,652,259.418604
599,518,261.119942
624,394,262.55646
1039,562,264.474225
251,123,264.934237
246,123,265.395657
1431,627,267.474419
626,318,268.59928
247,127,269.082616
248,109,269.459572
637,346,270.699341
249,127,271.150528
249,109,271.540128
248,129,272.004127
600,378,273.229469
236,189,273.860042
616,280,275.06495
240,149,275.629
1142,671,278.106852
248,119,278.596017
1045,618,280.624137
602,410,281.942913
239,147,282.442466
1428,623,284.62791
648,7981,310.515609
252,109,310.857396
238,123,311.274168
