#{"t_start": 1555826226.732757, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
-32,8055,46.146366
265,6787,83.161653
53,8055,126.680953
-28,1180,133.347623
-110,2294,145.727942
18,1590,154.329777
-324,6937,191.681474
-291,7997,235.099502
-369,7997,278.53836
-440,7997,321.626354
-398,7997,365.151835
-444,7997,408.599742
-400,7997,451.679703
-203,7997,495.202565
-349,7997,538.774338
-379,7997,581.853101
-425,7997,625.423633
-379,7997,669.122335
-263,7997,712.153674
-92,8055,756.178467
-264,7997,799.900163
-311,7997,843.065481
-209,7997,886.846809
43,573,889.942329
-236,7997,933.706028
-368,7997,976.773961
-440,7997,1020.60335
-198,7997,1064.535382
-238,7997,1107.732679
143,8055,1152.009575
-65,8055,1196.318703
-84,2713,1211.005558
-24,8055,1255.488741
-91,7997,1298.772748
-163,8055,1343.201664
-263,7997,1387.231493
-326,7997,1430.39795
-429,7997,1474.445853
-429,7997,1518.514435
-413,7997,1561.590658
-366,7997,1605.663404
-377,7997,1649.735856
-292,7997,1692.832707
-290,7997,1736.970068
-296,7997,1784.834745
-374,7997,1832.194364
-349,7997,1880.528833
-230,7997,1928.878944
-280,7997,1976.168604
-228,7997,2024.559469
-426,7997,2072.975642
-300,7997,2120.217021
-33,7997,2168.696373
32,1244,2176.08846
-67,8055,2224.960818
-165,4996,2254.492174
-185,8055,2303.323352
-246,7997,2351.879307
-378,7997,2399.173949
-41,964,2404.870803
-414,7997,2453.368359
-111,5678,2486.870966
-106,2424,2502.491017
-361,7997,2549.72438
-441,7997,2598.19277
-451,7997,2646.666756
-395,7997,2693.858183
-111,8055,2742.884375
-240,5325,2774.363358
-284,7997,2823.133028
-313,7997,2871.920249
-157,7997,2919.232645
-309,7997,2968.029081
-153,3666,2989.730122
-296,7997,3038.568684
-113,3999,3062.234887
200,8056,3111.511682
34,534,3114.707127
415,7997,3163.837493
-228,7997,3211.127746
-354,7997,3260.080095
-225,7997,3309.012021
-304,7997,3356.29688
-313,7997,3405.300997
8,7997,3454.356252
-103,7997,3501.645753
-322,7997,3550.624648
-233,7997,3599.647241
-67,3170,3618.412533
45,3198,3637.29196
113,1740,3647.559222
-408,7997,3696.630922
-12,839,3701.605576
-168,7997,3750.721135
-157,7997,3799.885041
-401,7997,3847.149486
-269,7997,3896.288356
-37,8055,3945.896491
-371,7997,3993.179636
-16,1563,4002.427227
-48,7997,4051.668658
23,8055,4101.317745
-250,7997,4148.562962
-151,3714,4172.575275
-293,7997,4219.814171
-355,7997,4269.093168
-455,7997,4318.288948
-464,7997,4365.415637
-430,7997,4414.728713
-420,7997,4464.022323
