#{"t_start": 1559817804.6207545, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
207,205,2.897661
509,5527,28.376002
225,173,29.160559
660,2217,39.90185
928,2586,52.206715
1065,5663,77.820377
154,438,80.231263
50,504,82.676072
189,422,84.66862
141,422,86.704041
156,430,88.734308
899,3700,106.176458
197,314,107.473814
959,2427,118.052426
781,1106,123.304141
989,1348,128.812568
183,438,130.504667
691,867,134.380252
766,685,137.310891
610,446,139.057582
228,195,139.840415
229,211,140.573547
605,418,142.017568
225,201,142.827525
611,338,144.120523
246,163,144.838929
237,280,146.099686
230,145,146.715104
249,137,147.268178
242,147,147.880893
245,125,148.420619
1015,1017,152.54731
228,179,153.316847
768,591,155.597304
245,123,156.097095
233,147,156.686125
1029,783,159.592901
1037,709,162.29511
609,514,164.110839
1028,859,167.404666
1307,787,170.066275
246,139,170.543017
245,169,171.206422
249,119,171.701148
633,372,173.07333
1326,1020,176.702012
614,284,177.879447
248,125,178.258276
620,404,179.756176
631,348,180.978759
231,173,181.674371
252,123,182.128955
1038,522,183.992936
1093,1383,188.89877
620,428,190.468554
235,153,191.111301
1031,729,193.591859
618,280,194.62112
622,370,195.872744
629,346,197.093157
250,125,197.524001
237,197,198.218382
623,438,199.558897
612,418,201.038913
1032,577,202.888802
769,605,205.007665
238,135,205.496013
247,127,205.915696
617,334,207.009283
248,113,207.405884
223,193,208.020716
235,177,208.645105
246,109,209.052764
1031,586,210.972572
245,143,211.431582
1416,711,213.87935
608,274,214.734865
1337,757,217.174237
244,149,217.787845
1029,870,220.889961
1580,913,224.101689
710,580,226.044926
619,384,227.340025
249,117,227.746454
249,123,228.194382
1427,585,230.081827
632,446,231.571031
1039,658,233.87315
244,125,234.329991
623,350,235.467095
1419,691,237.738979
774,571,239.657782
250,117,240.015318
626,404,241.231484
625,356,242.252406
251,117,242.626409
1027,733,244.945342
247,147,245.441763
614,378,246.715331
1040,531,248.568038
247,139,249.013016
607,276,249.900956
1334,607,251.810736
250,147,252.269175
245,119,252.673856
1683,865,255.260532
246,133,255.647312
1033,711,258.080152
621,480,259.799527
1032,575,261.779003
634,346,263.11681
605,252,264.027137
1045,532,265.983821
236,159,266.454401
251,119,266.879632
1032,662,269.262963
1036,627,271.382631
631,352,272.564308
251,125,272.911043
621,390,274.222345
249,129,274.760247
246,125,275.234429
238,139,275.7867
242,117,276.187927
756,663,278.62042
251,119,278.990271
812,506,280.751259
247,125,281.160622
1426,711,283.656187
603,308,284.65552
809,570,286.589633
815,564,288.529543
628,416,289.953631
249,121,290.391942
234,153,290.930412
1690,881,293.764134
251,125,294.189819
244,149,294.710286
247,147,295.135773
247,129,295.628774
621,380,296.792878
248,129,297.28608
225,163,297.819443
252,105,298.148028
646,316,299.168892
247,127,299.58341
250,129,299.984983
245,129,300.437693
232,155,300.983152
252,105,301.294703
635,364,302.378438
631,356,303.502148
621,300,304.446374
1405,990,307.40982
615,382,308.678339
1327,666,310.750788
241,121,311.175479
634,340,312.350273
249,125,312.742444
1577,645,314.850423
605,438,316.212984
607,416,317.591818
248,109,317.928297
242,127,318.280741
764,510,319.774586
1033,687,321.897294
648,390,323.150363
610,414,324.432139
608,316,325.426116
629,398,326.673114
248,133,327.104472
623,334,328.139525
652,310,329.091806
250,119,329.458181
629,332,330.519474
623,318,331.548286
1333,619,333.489601
238,119,333.850981
625,432,335.155473
246,121,335.532758
608,270,336.474816
1340,721,338.74214
633,318,339.668906
1037,531,341.480722
246,127,341.930648
649,374,343.046517
652,304,344.03673
232,155,344.522575
1035,653,346.529028
1858,701,348.716845
246,137,349.268297
628,408,350.47609
249,125,350.94167
599,336,351.94158
250,133,352.40869
251,117,352.846251
1050,477,354.250787
617,272,355.123322
619,390,356.405625
609,302,357.197018
1043,498,358.799221
251,117,359.149655
1032,540,360.846773
628,390,362.068395
762,747,364.364027
620,302,365.334722
249,125,365.727211
812,512,367.392184
613,260,368.294744
249,107,368.630104
250,123,369.049028
1038,617,371.08836
248,149,371.539117
248,113,371.898493
1343,728,374.393132
1034,600,376.202297
248,121,376.566117
248,113,376.920724
629,304,377.822426
1039,460,379.328647
623,380,380.450824
1043,488,382.064716
248,115,382.427041
239,141,382.917328
248,113,383.316944
248,113,383.733187
1340,612,385.626007
1151,691,387.800705
641,318,388.842118
1131,715,391.010766
1561,851,393.76508
247,107,394.147162
250,123,394.456512
1425,755,396.811046
252,119,397.242107
247,107,397.649029
601,244,398.472333
252,105,398.799735
1338,788,401.169609
1421,675,403.38572
634,372,404.414152
1156,478,405.883785
1346,573,407.700605
250,123,408.059777
615,326,409.09506
249,107,409.425346
1043,631,411.509727
252,105,411.826959
1565,869,414.599394
609,280,415.412259
1032,688,417.594778
1332,621,419.500234
1319,565,421.370838
606,324,422.308807
1044,573,424.050526
246,121,424.458612
237,137,424.958576
620,286,425.778568
239,133,426.16547
247,107,426.499903
1042,625,428.766528
748,446,430.070961
615,330,431.135802
246,119,431.502146
252,105,431.793653
248,125,432.277311
604,290,433.143086
617,266,433.949116
252,105,434.239422
633,380,435.438506
247,121,435.801961
614,310,436.715854
633,330,437.725734
623,298,438.633144
764,637,440.615085
236,137,441.052658
1326,882,443.902019
1421,982,447.06395
763,669,449.328761
604,240,450.107496
626,310,451.097091
611,316,452.127996
1682,908,455.031745
252,105,455.454009
603,288,456.303669
1566,687,458.561877
249,117,458.97261
615,496,460.501442
1334,556,462.205633
615,400,463.531891
1340,717,465.788807
246,127,466.190825
610,352,467.31514
602,244,468.034822
243,145,468.517288
638,322,469.404152
769,572,471.139259
