#{"t_start": 1555826226.81168, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
72,8055,46.070705
-144,2767,61.006349
120,1136,67.17277
-39,8055,111.055743
-177,7997,154.504051
-393,7997,197.911069
-306,7997,240.977815
-328,7997,284.410304
54,3238,301.857481
-446,7997,345.408356
-423,7997,388.442914
-341,7997,431.950258
-16,1373,439.339253
-337,7997,482.860665
-455,7997,526.404943
-104,2029,537.35823
-429,7997,580.460506
-365,7997,624.028109
-201,7997,667.727286
-91,1886,677.877034
-368,7997,721.524585
-290,7997,764.686317
-165,8055,808.698391
-234,5539,838.616634
-259,7997,882.398794
-306,7997,926.15789
-233,5850,957.646801
-377,7997,1001.472044
-33,1024,1006.977356
-366,7997,1050.893366
-32,956,1056.063312
-245,7997,1099.311833
75,7997,1143.24288
30,1914,1153.586447
2,1070,1159.356768
-1,8055,1203.697785
296,6127,1236.85855
24,8055,1281.351574
-17,1616,1290.113008
184,1174,1296.487239
-87,8055,1340.929773
127,1965,1351.539576
-446,7997,1395.565284
-322,7997,1439.69061
-410,7997,1482.775681
-99,2187,1494.587252
-453,7997,1538.656482
-421,7997,1582.719032
-347,7997,1625.772804
-245,6175,1660.054495
-260,7997,1704.241475
-409,7997,1747.781353
-247,7997,1796.192278
-321,7997,1844.568759
-145,3260,1863.841078
-202,4177,1888.602879
-167,7997,1936.968153
-321,7997,1984.247623
-262,6957,2026.502116
-314,7997,2074.929306
-8,657,2078.808079
-307,7997,2126.058549
139,8055,2174.911422
36,1495,2183.778542
136,801,2188.552161
65,1712,2198.681038
-107,3425,2220.1711
-223,7997,2267.441776
-185,7997,2315.911716
-159,7997,2364.463318
-403,7997,2411.750479
-199,4277,2438.275228
-454,7997,2485.464317
-86,2091,2499.104148
-434,7997,2546.345703
-422,7997,2594.840764
-384,7997,2643.306538
-375,7792,2689.259526
-115,2823,2705.964519
-187,8055,2754.980448
-234,7997,2803.766531
-138,2897,2820.893906
-345,7997,2869.673198
-84,1844,2880.593297
-332,7997,2929.413795
6,797,2934.146518
-264,7997,2981.462219
-308,7997,3030.278934
-173,3658,3051.921595
97,811,3056.734296
255,8056,3105.996709
246,8055,3155.554366
-149,8055,3203.206002
-55,8055,3252.514132
-322,7997,3301.451211
-134,8055,3349.077167
-198,7997,3398.089201
-264,5756,3433.989175
-20,972,3439.666443
-77,3778,3462.001363
-44,3331,3481.698405
-378,7997,3530.766076
-239,7997,3579.812413
-227,7997,3627.005812
-402,7997,3676.070015
-20,1417,3684.450382
-319,7997,3733.599346
101,1100,3740.091954
-399,7997,3787.376795
-398,7997,3836.516047
-195,7997,3885.680297
-96,2651,3901.349743
-247,7997,3950.608172
-425,7997,3997.896554
-284,7997,4047.111035
5,785,4051.767562
-75,1698,4061.803169
-72,2157,4074.564222
-64,8055,4124.220594
-218,7997,4173.552742
-276,7497,4217.819632
-442,7997,4267.084456
-455,7997,4316.309274
-455,7997,4363.426146
-444,7997,4412.727929
-452,7997,4462.041421
-404,7997,4509.170152
-420,7997,4558.623988
-316,7997,4608.030143
-423,7997,4655.193415
-395,7997,4704.665161
-81,2657,4720.340037
-455,7997,4769.837474
-455,7997,4819.360505
-26,827,4824.191938
-443,7997,4871.369313
-453,7997,4920.868384
-438,7997,4970.446486
-344,7997,5017.601476
-453,7997,5067.215559
-434,7997,5116.94621
-401,7997,5164.097679
-275,7997,5213.773104
-3,2001,5225.588076
-344,7997,5275.367917
-370,7367,5318.856638
-402,7997,5368.573671
-425,7997,5418.379707
-14,691,5422.470411
-355,7997,5469.673149
-185,8055,5519.899856
-196,7997,5569.798027
-455,7997,5616.979873
-356,7997,5666.875804
-424,7997,5716.753329
-325,7997,5763.941336
-89,5585,5799.650568
-314,7997,5849.710707
-333,7997,5896.891696
-263,5443,5931.88602
-401,7997,5979.103911
-356,7997,6029.183166
-87,1718,6039.341324
-331,7997,6089.396329
-375,7997,6136.576339
-325,7997,6186.662928
-425,7997,6236.749562
-444,7997,6283.901963
-424,7997,6334.071763
-424,7997,6384.241383
-455,7997,6431.393577
-444,7997,6481.614674
-424,7997,6531.901689
-358,7997,6579.070972
-423,7997,6629.364246
-66,2733,6645.496045
-303,7997,6695.898879
-194,5248,6726.90337
-304,7997,6777.597407
-257,5503,6813.322709
-405,7997,6860.552486
-395,7997,6910.992852
-253,7997,6961.518028
-408,7997,7008.677169
-411,7997,7059.128665
-209,4173,7083.74409
-455,7997,7134.201854
-453,7997,7184.711545
-440,7997,7231.821219
-384,7997,7282.37786
-424,7997,7333.026564
-278,7997,7380.16208
-251,7997,7430.89386
-245,4805,7459.213826
-285,7997,7509.919784
-419,7997,7560.669289
-185,7997,7607.81775
123,520,7610.906987
-141,8055,7662.116418
-195,8055,7713.31122
-163,4925,7742.409541
-75,7997,7793.326127
21,8055,7840.948415
-201,8055,7892.276317
-23,8055,7943.687802
23,781,7948.346383
96,7997,7999.472082
211,294,8001.227366
135,7997,8048.526933
-418,7997,8099.440256
-390,7997,8150.510276
-422,7997,8197.66664
-407,7997,8248.703894
-234,6053,8284.444586
-240,6879,8328.944934
-278,7997,8380.105905
-322,7997,8427.313442
-350,7892,8477.829524
-176,7997,8529.040574
-279,7997,8576.310739
-288,7997,8627.545521
-276,7997,8678.913324
-295,7997,8726.13015
-81,2462,8744.797392
-123,3758,8767.00492
-52,7997,8818.486536
-205,7997,8865.620828
60,8055,8917.463135
-110,2761,8933.798534
83,7997,8985.230488
-17,663,8989.159963
-110,4298,9014.593434
-199,4151,9039.141436
-144,7997,9090.712488
-94,3541,9111.654644
-237,7997,9163.204753
-315,7997,9214.74165
-185,5567,9247.628359
21,1014,9253.62821
36,901,9258.949492
-118,8055,9310.931354
-357,7997,9362.518042
-229,8055,9410.05605
-279,7997,9461.670052
-426,7997,9513.34007
-425,7997,9560.539831
-294,7997,9612.184127
-365,7997,9663.812295
-380,7684,9709.146557
-394,7997,9760.840282
-95,7997,9812.670743
-248,6211,9849.326645
-53,1511,9858.250676
-320,7997,9910.154784
-221,8055,9962.31882
-339,7997,10009.525434
190,8056,10061.812545
-263,7997,10113.758744
44,1032,10119.852958
122,8056,10167.571602
180,986,10178.13318
-23,562,10181.49889
188,546,10184.734644
-105,8055,10232.360503
-222,4789,10265.418723
-445,7997,10312.629476
-73,2065,10329.614452
-438,7997,10376.854612
-82,2637,10392.447555
-408,7997,10444.746631
-382,7997,10496.784547
-94,2215,10509.894428
-429,7997,10561.97397
-428,7997,10609.138555
-61,4735,10642.062686
-387,7997,10689.248139
-282,6087,10730.084096
-334,7997,10782.183725
-269,7997,10829.505378
-451,7997,10881.744599
-378,7997,10933.891407
-411,7997,10981.060948
-366,7997,11033.246031
-456,7997,11085.546899
-275,7997,11132.709128
-171,4851,11166.507539
-380,7997,11213.789766
-195,4695,11246.710888
-394,7997,11293.898468
-436,7997,11346.297665
-225,7997,11398.816591
-73,3842,11421.505534
-448,7997,11474.082051
-280,7997,11521.361997
-133,8055,11574.260615
-329,7997,11626.82987
-252,7997,11674.08293
-310,7997,11726.747773
-115,7997,11779.416469
-100,8055,11827.068472
162,731,11831.379318
-159,7997,11884.468042
-249,7405,11933.698927
-376,7997,11980.933917
-154,8055,12034.044
-260,7997,12086.860693
-255,7997,12134.194548
-184,7997,12187.117582
-385,7997,12240.106035
-344,7196,12282.548069
-214,7997,12335.496401
-21,7997,12388.366616
-289,7997,12435.557916
-401,7997,12488.523767
-441,7997,12541.473948
-455,7997,12588.668653
-101,8055,12642.03138
104,765,12646.568137
-328,7997,12699.558273
-415,7997,12746.695837
-435,7997,12799.710143
-7,1748,12810.045211
-297,7997,12863.17387
-364,7997,12910.378134
-302,7997,12963.419227
-365,7997,13016.540852
-201,5359,13048.166661
-308,7997,13101.341353
-345,7997,13154.532507
-299,7997,13201.727292
-319,7997,13254.961719
-427,7997,13308.145425
-423,7997,13355.248988
-449,7997,13408.527861
-105,2984,13426.161501
-333,7997,13479.430167
-442,7997,13532.755069
-451,7997,13579.856405
-395,7997,13633.187334
-455,7997,13686.879853
-434,7997,13733.964257
-455,7997,13787.354606
-261,7997,13840.904208
-417,7997,13888.003472
-408,7997,13941.439665
-454,7997,13995.031319
-373,7997,14042.128615
-218,7997,14095.758917
-246,5646,14129.037596
-336,7997,14182.559351
-364,7997,14236.270925
-309,7997,14283.461948
-397,7997,14337.183752
-321,7997,14390.86658
-432,7997,14438.048887
-253,7997,14491.831577
-450,7997,14545.570084
-61,2370,14559.583273
-363,7997,14613.438128
-366,7997,14660.529974
-296,7997,14714.397874
-206,8055,14768.667538
-24,4081,14792.750734
-233,7997,14846.706311
-254,7997,14893.893558
-89,1852,14904.838913
-271,7997,14958.802709
-210,7997,15012.89582
-118,7997,15060.085791
-314,7997,15114.157159
-394,7997,15168.289179
-275,7997,15215.502497
-14,1525,15224.51487
-382,7997,15278.646265
-293,7997,15332.805965
-443,7997,15380.02095
-258,7997,15434.178799
-274,7997,15488.388642
-312,7997,15535.617681
-322,7997,15589.76753
-396,7997,15643.99324
-3,2255,15657.319904
-303,7997,15711.590054
-282,7997,15758.785423
-368,7997,15813.142625
-372,7997,15867.531721
-407,7997,15914.760149
-369,7997,15969.127788
0,1584,15978.490639
-313,7997,16032.932969
-22,1584,16042.289634
-436,7997,16096.826239
-33,2584,16112.066184
-178,5000,16141.597441
-273,7997,16196.208457
-67,3256,16215.46607
-436,7997,16270.00001
-391,7997,16317.217318
-279,7997,16371.794544
-101,2530,16386.72705
-163,7997,16441.323566
-325,7944,16495.581726
-448,7997,16542.774594
-400,7997,16597.447229
-343,7997,16652.091857
-444,7997,16699.258038
-359,7997,16753.900528
-106,2258,16767.229332
-259,5124,16804.942661
-245,5076,16834.889707
-366,7997,16889.661438
-402,7997,16936.840414
-249,4925,16973.371156
-432,7997,17020.517387
-383,7997,17075.366075
-427,7997,17130.175942
-12,775,17134.750355
-291,7997,17189.646576
-249,5631,17222.851224
-224,7997,17277.754587
-57,5704,17311.465162
-224,7997,17366.571445
-335,7997,17413.81755
-367,7997,17468.757911
-101,2326,17482.469475
-242,7997,17537.541516
-29,1555,17546.738516
-210,7997,17601.773373
-219,7997,17649.030577
-73,8055,17704.576533
-74,1720,17714.783066
-262,7997,17769.949057
5,1070,17776.2973
-271,7997,17831.510365
-70,8055,17879.13199
-393,7997,17934.44382
-321,7997,17989.695487
-72,1477,17998.426669
-366,7997,18053.808665
-105,2266,18067.120958
-248,7997,18114.340213
-283,7997,18169.627946
-399,7997,18225.539762
-53,7997,18272.785768
-106,7997,18328.182147
-239,5110,18358.333547
-193,7997,18413.823474
22,920,18419.265214
-30,8055,18475.580109
-270,7997,18531.207881
-401,7997,18578.418947
-68,3090,18596.664783
-413,7997,18652.164022
-387,7997,18707.745816
-432,7997,18754.881767
-311,7559,18808.473661
-452,7997,18863.995089
-313,6961,18905.018641
-317,6803,18953.64217
-363,7997,19009.22175
-76,1656,19018.974093
-360,7997,19066.103919
-97,6311,19111.905723
-202,7997,19167.584403
-124,2633,19183.105737
-443,7997,19230.236778
-126,3178,19257.52997
-280,7997,19304.691711
-389,7997,19360.431195
-453,7997,19416.185828
-456,7997,19463.303487
-434,7997,19519.115562
-420,7997,19575.690097
-452,7997,19622.783064
-295,7997,19678.710006
-315,7997,19734.744473
-433,7997,19781.892702
-446,7997,19837.911174
-129,3287,19857.262354
-393,7997,19913.237795
-423,7997,19969.287577
-416,7997,20016.491755
-343,7997,20072.582002
-449,7997,20128.728778
-408,7997,20175.868981
-422,7997,20231.96853
-455,7997,20288.119702
-428,7997,20335.272529
-338,6825,20384.631403
-172,8055,20441.296291
-28,8055,20488.880447
-384,7997,20545.19865
-408,7997,20601.509165
-157,3511,20622.202456
-411,7997,20678.676055
-155,3852,20701.397638
-143,4931,20730.526012
-105,8055,20787.374708
-94,3301,20806.906568
-367,7997,20863.409944
-396,7997,20919.809855
-413,7997,20966.960035
-184,3628,20997.898648
-386,7997,21045.00834
-247,7997,21101.641426
-381,7997,21158.296417
-172,7997,21205.460113
-178,4560,21241.877457
-455,7997,21289.039366
-410,7997,21345.661034
-193,7997,21402.358156
-386,7997,21449.53797
-324,7997,21506.527892
-81,8055,21563.692552
176,1451,21572.281941
-435,7997,21619.423854
-144,5916,21663.916445
5,1134,21670.615928
118,1164,21677.501874
-85,7997,21734.442146
-422,7997,21781.592216
-384,7997,21838.87047
-28,2621,21854.316808
-409,7997,21911.180075
-290,7997,21968.117718
-200,5128,21998.367081
-201,7997,22055.439436
-185,8055,22103.012873
-7,847,22108.018411
67,2847,22134.720291
-444,7997,22181.823749
-425,7997,22238.741203
-104,2440,22253.147063
-430,7997,22310.239943
-319,7997,22367.286139
-294,6600,22406.233446
-138,3218,22425.257364
-120,7997,22482.485453
-147,7997,22539.673972
87,1505,22548.557907
-319,7997,22595.723533
-185,8055,22653.243702
-363,7997,22710.419387
-256,7997,22757.601375
-359,7997,22814.833229
-440,7997,22872.064896
-407,7997,22919.234461
-446,7997,22976.393824
-423,7997,23033.727853
-452,7997,23080.828624
-440,7997,23138.102864
-414,7997,23196.059037
-350,7997,23243.135518
-280,7997,23300.51114
-273,7997,23358.023381
-358,7997,23405.199005
-162,8055,23462.992614
-409,7997,23520.500926
-420,7997,23567.690839
-292,7997,23625.214203
-387,7997,23682.769475
-188,3963,23706.15196
-378,7997,23763.912836
-68,2530,23778.810917
-41,2083,23791.106395
-400,7997,23848.711853
-422,7997,23906.367144
-415,7997,23953.506826
-455,7997,24011.184312
-331,7997,24068.942351
-398,7997,24116.113463
-156,4352,24152.441595
-287,7997,24199.591967
-105,5876,24245.013577
-247,4994,24274.513623
-243,7997,24332.974136
-351,7997,24380.149516
-303,7997,24438.13411
-370,7997,24496.063934
-427,7997,24543.156333
-393,7997,24601.057961
-417,7997,24659.435505
-375,7997,24706.618116
-438,7997,24765.242187
-179,8055,24823.708724
-379,7997,24870.927622
44,1124,24888.445802
-432,7997,24935.655556
-252,7997,24993.748235
-236,7997,25052.000265
-227,7997,25099.181041
-327,7192,25152.629086
-371,7997,25199.796079
-443,7997,25257.995747
-434,7997,25316.302332
-361,7997,25363.473091
-381,7997,25421.712599
-226,5417,25464.776324
-387,7997,25511.918406
-446,7997,25570.37477
-429,7997,25628.699083
-146,3086,25646.909134
-315,6907,25687.682921
-276,7997,25746.18376
-437,7997,25804.652204
-377,7997,25851.789967
-272,7997,25910.2641
-300,7997,25968.787616
-323,6841,26009.138878
-278,7997,26067.578119
-403,7997,26126.210175
-434,7997,26173.342371
-332,7997,26231.896038
-453,7997,26290.388978
-239,7997,26337.612891
-231,7997,26396.333169
-410,7997,26456.036324
-84,7997,26503.281334
-193,7997,26561.946095
-163,3692,26583.753394
-413,7997,26643.121351
-260,7997,26701.888541
-309,7997,26749.005038
-143,3363,26780.43209
-72,7997,26827.599349
-443,7997,26886.592841
-38,3806,26909.077449
-251,5862,26955.413238
-198,6536,26993.957452
-109,2328,27007.746605
-234,5658,27052.776273
-316,7997,27111.858397
-237,5760,27145.843662
29,1048,27152.018024
69,707,27156.193733
-270,7997,27215.216614
-291,7997,27274.212634
-393,7997,27321.405227
-83,2956,27338.85698
-322,7997,27397.965069
-314,7997,27456.986126
-396,7997,27504.151481
-391,7997,27563.229549
-119,3543,27584.172553
-206,7997,27643.35008
-297,7997,27702.575857
-303,7997,27749.737991
-412,7997,27809.048126
-402,7997,27869.456974
-370,7997,27916.623386
-408,7997,27975.909683
-281,7997,28035.344269
-439,7997,28082.540147
-313,7997,28142.744379
-340,7997,28202.165925
-342,7997,28249.372247
-251,7997,28308.889842
-96,1862,28319.897416
-161,3102,28350.469625
-425,7997,28397.708791
-191,4404,28436.080968
-270,5662,28469.546418
48,8055,28529.523761
-351,7997,28576.696278
-254,7997,28636.233368
-381,7997,28695.833162
6,1690,28705.8158
-380,7997,28765.60902
-334,6897,28806.204708
-435,7997,28865.835722
-411,7997,28912.961853
-442,7997,28972.615291
-356,7997,29032.385756
-447,7997,29079.474396
-441,7997,29139.102052
-425,7997,29198.839382
-455,7997,29245.933223
-311,6522,29297.008445
-450,7997,29356.946295
-163,4586,29383.937625
-335,7997,29443.797558
-402,7997,29490.971812
-457,7997,29550.815161
-448,7997,29610.872169
-455,7997,29657.959146
-431,7997,29717.895863
-282,6412,29768.574354
-25,1234,29775.837263
-212,7997,29823.045933
-227,7997,29883.180717
-186,7997,29943.404599
-205,7997,29990.649984
11,2245,30003.918347
-398,7997,30064.035046
-9,4919,30106.142502
-247,7997,30153.357252
-344,7997,30213.581618
-318,7997,30273.860771
-303,7997,30321.045451
-442,7997,30381.226093
-55,8055,30441.879053
-274,7997,30489.047609
-268,7997,30549.500615
-28,1307,30557.23705
