#{"t_start": 1555826226.58132, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
233,197,3.668701
105,8055,47.347736
189,8056,91.264683
97,7997,134.695366
-44,906,139.594157
-79,2723,154.274989
20,1172,160.606009
-398,7997,204.026876
-361,7997,247.062697
-413,7997,290.518771
-211,5736,321.425624
-455,7997,364.957769
-184,5736,396.217043
-177,5411,425.369895
-412,7997,468.888612
-227,4456,492.888168
-92,2001,503.702063
-378,7997,547.249428
-438,7997,590.885935
-392,7997,633.897643
39,448,636.308727
-301,7997,680.028955
-398,7997,723.657361
-212,7997,766.823893
-386,7997,810.514943
-263,7997,854.30538
-316,7997,897.438837
-294,7997,941.183937
-240,7997,984.989489
-217,7997,1028.086678
-399,7997,1072.04617
-273,7997,1116.026292
-86,7997,1159.177113
-15,1050,1164.849249
163,8055,1209.18188
87,7997,1253.324056
74,8055,1296.938104
88,7997,1341.070153
-313,7997,1385.092015
-346,7997,1428.225082
-176,3726,1449.311338
-443,7997,1492.394957
-127,2675,1507.766808
-424,7997,1550.877182
-227,6366,1586.158461
-371,7997,1629.198954
-358,7997,1673.293718
-401,7997,1717.450487
-455,7997,1762.301561
-275,5778,1797.570043
-422,7997,1845.936982
-317,7997,1893.244479
-7,1249,1900.644835
-72,3010,1919.529409
-405,7997,1966.816597
-81,2486,1981.546514
-293,7997,2029.919836
-51,1253,2037.352241
68,8055,2086.102919
-243,7997,2134.515924
-111,3128,2153.035619
-233,7997,2200.366665
-14,1188,2208.61492
-85,1945,2220.140843
16,729,2224.470366
22,1365,2232.558434
-134,4400,2258.579952
-398,7997,2307.068135
-153,8055,2355.966625
-127,4590,2383.113328
-329,7997,2431.632163
-345,7997,2478.820299
47,1598,2488.25973
-80,1720,2499.726813
-450,7997,2546.953971
-438,7997,2595.456274
-447,7997,2643.932049
-342,7997,2691.094749
-149,7997,2739.767661
-118,8055,2788.847944
-227,7997,2836.173716
-232,7997,2884.951229
186,7997,2933.76324
0,1664,2943.619291
-183,8055,2991.290807
-325,7997,3040.130261
-272,7997,3088.986161
214,7997,3136.528557
57,952,3143.895345
-193,8055,3191.516115
-121,7997,3240.510429
-218,7997,3289.434788
-241,7997,3336.688229
-68,8055,3385.998363
-91,2065,3398.264823
-206,7997,3447.336418
-75,1573,3456.653042
-244,7997,3503.962557
-11,849,3510.766527
-450,7997,3557.967096
-366,7997,3606.998728
-218,7997,3656.084591
-193,7997,3703.309601
-447,7997,3752.434927
-383,7997,3801.597835
-205,7997,3848.859238
-323,7997,3898.004589
-360,7997,3947.264429
-7,1437,3955.768014
-161,7997,4003.042952
-168,3493,4025.672867
-172,7997,4072.945644
-60,8055,4122.610886
-315,7997,4171.919724
-175,4990,4201.41505
-370,7997,4250.694375
-452,7997,4297.807881
-446,7997,4347.052222
-360,7997,4396.344087
-455,7997,4443.452347
-436,7997,4492.78588
-429,7997,4542.208242
-455,7997,4589.403278
-456,7997,4638.791143
-348,7997,4688.243243
-438,7997,4735.412268
-422,7997,4784.93067
-451,7997,4834.389934
-400,7997,4881.573733
-444,7997,4931.059137
-451,7997,4980.660124
-455,7997,5027.820951
-392,7997,5077.481212
-443,7997,5127.133141
37,2404,5141.339495
-219,4657,5168.802655
-403,7997,5218.510581
-90,1927,5229.896667
-315,7036,5274.002712
-443,7997,5321.200711
-278,5521,5356.34927
-432,7997,5406.17936
-37,2392,5420.277665
-359,7997,5467.437632
-170,7997,5517.339001
-294,7997,5567.231528
-18,1307,5574.959733
-439,7997,5622.124164
-410,7997,5672.024463
-241,5766,5708.739407
-426,7997,5755.913563
-327,7997,5805.853026
-311,7997,5855.912774
-352,7997,5903.112352
-452,7997,5953.146741
-66,2239,5966.408873
-308,7997,6016.490185
-312,7997,6063.651946
-369,7997,6113.721458
-398,7997,6163.821927
-438,7997,6210.941937
-400,7997,6261.077984
-254,5226,6294.89675
-464,7997,6342.058751
-455,7997,6392.223567
-204,4572,6419.177444
-401,7997,6469.384771
-453,7997,6519.672401
-114,3752,6541.80023
-218,5341,6573.337087
-98,2596,6591.823594
-102,2348,6605.691652
-437,7997,6652.852345
-171,3951,6679.370668
-292,7997,6726.607807
-298,7997,6777.298599
-275,7997,6827.740376
-360,7997,6874.933487
-215,7696,6923.633621
-346,7997,6974.138272
-455,7997,7021.296211
-455,7997,7071.712574
-446,7997,7122.2052
-379,7997,7169.31561
-443,7997,7219.830769
-439,7997,7270.381724
-318,7997,7317.523905
-375,7997,7368.151118
-71,3042,7386.109592
-102,3355,7409.432868
-84,7997,7456.629963
-122,3734,7482.171618
-78,8055,7529.713714
-308,7997,7580.435367
12,536,7583.627701
-95,5407,7615.536973
61,968,7624.883404
-98,8055,7672.534767
-72,1632,7682.205407
-370,7997,7732.978806
-346,7997,7783.920771
26,1072,7790.245634
-64,2005,7802.112771
-12,2306,7815.771701
-62,7997,7866.775988
54,7997,7914.051047
73,8055,7965.528072
-165,8055,8016.966817
-134,8055,8064.583112
-375,7997,8115.486766
-397,7997,8166.564286
-67,1357,8174.576792
-146,3367,8194.44895
-33,847,8199.48015
-47,8055,8250.876548
-436,7997,8301.920025
-246,5617,8335.141294
-214,6358,8376.629357
-352,7997,8423.868429
-453,7997,8474.996416
-390,7997,8526.171441
-365,7997,8573.445832
-429,7997,8624.68326
-274,7997,8676.054595
-223,5660,8709.499851
-46,883,8714.756714
-94,2280,8728.213048
-100,4669,8759.893075
-365,7997,8807.142394
-239,7997,8858.514316
162,735,8862.866579
-2,960,8868.54454
-102,8055,8920.368964
-88,2811,8937.006152
66,579,8940.464637
44,8055,8992.213579
-34,1973,9003.885703
-148,8055,9055.770466
-73,2308,9069.448134
-198,7997,9121.011097
-138,7997,9168.299108
-178,8055,9220.17662
-153,8055,9272.099614
-103,8055,9319.734283
-309,7997,9371.316246
-90,2905,9388.464914
-241,7997,9440.052486
-356,7997,9487.306024
-401,7997,9538.925622
-282,6203,9580.017188
-165,4976,9609.383867
-333,7997,9661.024424
-366,7997,9708.224011
-239,7997,9759.906738
-373,7997,9811.7237
-335,7997,9858.903641
-57,2312,9877.210241
-431,7997,9924.460853
-192,8055,9976.6266
-72,3760,9998.807956
-56,1371,10006.926147
-83,3640,10033.133479
-148,7997,10080.408903
-213,7997,10132.358367
