#{"t_start": 1555826226.8179867, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
229,7997,45.745747
91,548,48.702589
-7,809,53.057137
69,7997,96.679008
-295,7997,140.107284
-365,7997,183.184971
-357,7997,226.578451
-400,7997,270.039604
-360,7997,313.11199
-390,7997,356.633828
-284,7997,400.085719
-413,7997,443.179947
-386,7997,486.690763
-337,7997,530.235545
-416,7997,573.348222
-455,7997,616.920644
-120,2286,629.220734
-421,7997,672.932067
-331,7997,715.961898
-49,2422,729.602992
-99,2775,744.573156
-40,2193,756.429276
-253,7997,800.145135
-389,7997,843.292788
-361,7997,887.091146
-271,7997,930.841172
-376,7997,973.929782
-410,7997,1017.731786
-111,4978,1044.572381
-241,7997,1088.570741
-289,7997,1132.521118
-56,3303,1150.356259
-54,8055,1194.669204
-146,7997,1237.936196
386,8110,1282.726754
-12,2033,1293.729116
-70,8055,1338.157472
-318,7997,1382.20797
11,581,1385.345813
-404,7997,1428.486518
-239,7997,1472.563298
-413,7997,1516.613588
-421,7997,1559.707683
-441,7997,1603.764315
-78,7997,1647.840528
-46,2454,1661.080523
-53,2486,1674.45866
-307,7997,1718.630602
-399,7997,1763.644567
-407,7997,1812.031563
-228,4584,1839.177552
-313,7997,1887.511484
-271,7997,1935.871305
-412,7997,1983.144136
-435,7997,2031.535543
-270,7997,2079.957371
3,1383,2088.129475
-428,7997,2136.555268
-100,5656,2170.037893
-221,7997,2218.570118
-299,7997,2265.830255
-163,8055,2314.652888
-175,8055,2363.567457
-262,7997,2410.851326
-284,6835,2452.488707
-431,7997,2500.98672
-215,4338,2526.593238
-427,7997,2575.127053
-433,7997,2622.259158
-439,7997,2670.759226
-333,7136,2714.334842
-231,7997,2761.556653
61,1315,2769.36813
-223,7997,2818.141718
-85,2599,2833.556116
-190,7997,2882.333597
-280,7997,2931.153968
-146,8055,2978.797719
-180,7997,3027.665221
-90,8055,3076.887496
23,1563,3086.125568
377,7997,3133.641892
-128,8055,3183.031996
-28,2093,3195.39901
-126,2789,3211.893376
-150,8055,3261.186235
-90,7997,3310.1512
-234,7997,3357.408364
-372,7997,3406.410568
-105,2340,3420.263145
-174,8055,3469.644215
-83,7997,3518.722321
-165,8055,3566.262435
-40,2354,3581.99071
-338,7997,3629.219721
-267,7997,3678.290951
-298,7997,3727.408635
-112,2416,3741.706541
-254,7997,3788.956455
-85,3054,3808.918434
-146,4442,3835.147231
-323,7997,3884.317752
-360,7997,3931.605561
-1,873,3936.777234
-290,7997,3986.037135
-354,7997,4035.275194
-150,7997,4082.537827
-168,8055,4132.186092
-259,7997,4181.514047
-410,7997,4228.727717
-447,7997,4277.971784
-455,7997,4327.190789
-455,7997,4374.339591
-453,7997,4423.607931
-450,7997,4472.939753
-252,6927,4513.825912
-349,7182,4558.411948
-454,7997,4607.791662
-375,7997,4654.984283
-356,7997,4704.441572
-455,7997,4753.946934
-447,7997,4801.107579
-383,7997,4850.594615
-438,7997,4900.121579
-442,7997,4947.259509
-389,7997,4996.808698
-443,7997,5046.435315
-450,7997,5093.685256
-274,7997,5143.33592
-88,3487,5163.912175
-294,6211,5203.060525
-376,7997,5250.303888
-357,7997,5300.063426
-313,6318,5339.894135
-404,7997,5387.050254
-405,7997,5436.865389
-406,7997,5486.674573
-365,7997,5533.903713
-243,7997,5583.831082
-410,7997,5633.70245
-220,7997,5680.886397
-188,3758,5705.763015
-186,7997,5752.945166
-383,7997,5802.893816
-267,7997,5852.954468
-358,7997,5900.139377
-423,7997,5950.183994
-224,7997,6000.309309
-419,7997,6047.484305
76,2673,6063.229601
-446,7997,6113.306992
-447,7997,6163.397904
-455,7997,6210.531825
-433,7997,6260.665107
-453,7997,6310.815827
-432,7997,6357.995281
-388,7997,6408.157551
-356,7997,6458.364045
-453,7997,6505.549849
-448,7997,6555.810411
-304,7997,6606.147881
-13,829,6611.04019
-365,7997,6661.404597
-29,1977,6673.057745
-447,7997,6720.301731
-348,7997,6771.010104
-252,7997,6821.435783
-92,3515,6842.203404
-223,5417,6874.180482
-365,7997,6924.62968
-217,4538,6954.805335
-377,7997,7001.929714
-452,7997,7052.367802
-378,7997,7102.939276
-455,7997,7149.958027
-438,7997,7200.493448
-455,7997,7251.0749
-427,7997,7298.151764
-446,7997,7348.75277
-143,2735,7364.909508
-10,3491,7385.511583
-137,3955,7412.396434
-310,7997,7459.566939
-159,3531,7483.913835
-244,7997,7531.115584
-157,8055,7582.185012
187,7997,7632.999639
-132,8055,7680.654128
-127,3373,7704.175585
-165,7997,7751.41592
-88,7997,7802.300485
-118,7997,7853.300672
-207,7997,7900.587383
-49,942,7906.155919
31,964,7911.871271
55,1874,7926.654939
-52,7997,7974.096377
140,394,7976.442985
76,7997,8027.496725
-212,7997,8078.513982
-426,7997,8125.680047
-185,7997,8176.73164
-174,5668,8210.17509
-300,7997,8261.195858
-329,7997,8312.273355
-282,7997,8359.541261
-23,1200,8370.52169
-325,7997,8417.75536
-351,7997,8468.877414
-329,7997,8520.060586
-294,6075,8555.984969
-230,7997,8607.222499
-285,7997,8654.486367
104,1551,8663.678492
-245,7997,8715.033997
-225,4701,8746.882929
-302,7997,8794.121998
5,629,8797.846586
-212,7997,8849.229106
-41,7997,8900.655258
-10,1074,8907.015277
-298,7997,8954.320594
-27,8055,9006.069497
101,8055,9057.95316
-149,8055,9105.634763
12,2448,9124.354255
-419,7997,9171.642849
-131,7997,9223.172095
-205,7997,9274.754358
57,542,9277.986018
36,895,9283.284275
-200,7997,9330.547118
-303,7997,9382.125035
-74,7997,9433.680714
-370,7997,9480.931869
-348,7997,9532.587229
-344,6759,9576.932944
