#{"t_start": 1559817804.4958768, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
695,7218,35.184044
574,875,38.977211
194,442,41.103523
613,4598,62.391783
975,1311,69.078287
193,394,70.662059
773,1409,76.84228
1319,5714,104.143768
1561,3294,118.887451
951,2435,129.694214
681,1511,136.191277
576,552,138.523943
200,229,139.410995
605,356,140.753036
614,336,142.115296
633,406,143.812068
604,707,146.67277
215,197,147.433626
246,119,147.927338
245,131,148.409999
609,554,150.588087
219,207,151.235901
236,179,151.90751
240,153,152.498087
229,165,153.223308
752,725,156.183284
240,167,156.902597
242,123,157.354664
236,149,157.978917
1055,508,160.046742
231,191,160.777858
630,749,163.447967
1043,557,165.697836
245,139,166.142618
1028,928,169.324087
233,181,169.908652
248,131,170.376339
1898,1226,174.550875
1035,527,176.494772
806,739,179.032344
248,125,179.469166
1322,875,182.765619
1332,881,185.859595
622,298,186.816715
1038,550,189.000787
246,151,189.583044
233,173,190.142907
1048,644,192.424068
715,502,194.181781
251,119,194.663885
598,388,196.073136
241,171,196.728156
251,119,197.1516
627,316,198.20153
246,125,198.669959
1011,759,201.23496
630,370,202.662423
242,129,203.121479
757,603,205.379714
604,336,206.469722
243,161,206.99047
740,556,208.954415
611,340,210.078607
768,679,212.291116
1307,905,215.231097
638,591,217.141921
629,352,218.42355
232,173,219.010076
249,119,219.440112
599,478,221.032725
246,121,221.545352
1139,562,223.414699
642,380,224.670199
608,286,225.699664
1342,695,227.95512
242,141,228.432304
250,131,228.863942
248,105,229.227427
1688,940,232.562342
614,390,233.829787
1033,669,235.886229
621,346,236.933567
615,470,238.674549
1333,753,241.05818
240,117,241.477052
251,127,241.85926
252,105,242.180236
246,125,242.57755
633,352,243.706495
630,635,245.673845
603,264,246.580058
1041,492,248.284446
1426,681,250.55103
635,350,251.635708
244,151,252.148166
243,131,252.535272
604,257,253.328867
1039,593,254.933883
625,342,255.980054
249,123,256.386653
1061,554,258.346274
1314,867,261.408643
632,306,262.498837
711,502,264.237482
626,366,265.562074
617,318,266.494838
243,145,266.981361
606,320,268.135505
615,310,269.286057
252,117,269.686289
242,141,270.266057
233,139,270.76712
251,127,271.199994
248,113,271.579629
252,109,271.968421
616,334,273.045267
247,119,273.496134
247,149,274.023304
243,133,274.569012
1430,781,277.400624
1034,549,279.4019
251,127,279.842216
1176,607,281.839685
250,131,282.212652
244,147,282.730835
607,330,284.029652
247,137,284.510301
1036,637,286.5602
1060,537,288.382208
1046,503,290.06682
246,133,290.480286
624,388,291.679925
1580,785,294.195276
1294,915,297.124713
623,336,298.250556
609,280,299.152391
615,414,300.410095
1332,773,302.870929
1335,638,304.822139
1405,1078,308.178902
1047,509,309.852037
247,123,310.257364
749,765,312.649738
617,386,314.049466
247,147,314.52104
236,141,314.975288
618,400,316.213188
237,141,316.662075
609,324,317.769867
248,125,318.156405
250,121,318.490549
244,127,318.929792
1039,663,320.912823
252,109,321.267886
1072,467,322.690703
1028,678,324.754509
248,133,325.153873
1039,570,326.940121
1025,964,329.830319
647,290,330.774238
624,276,331.733654
250,115,332.13531
616,346,333.224303
244,131,333.61888
618,358,334.730135
605,424,336.0951
616,318,337.091253
1144,577,338.957586
248,113,339.300016
242,147,339.77442
249,117,340.238324
632,334,341.262251
1041,555,343.002459
1326,999,346.132882
247,121,346.493576
628,270,347.36106
250,123,347.759302
251,117,348.101684
246,121,348.467108
249,123,348.846187
248,123,349.397614
1689,867,352.068685
1336,634,354.088554
1035,770,356.491964
1028,772,358.750142
248,133,359.123091
603,292,360.061477
241,133,360.46108
612,312,361.395935
1024,755,363.813909
617,292,364.717085
628,394,365.908712
1417,926,368.941751
248,127,369.421632
1426,803,371.998951
597,242,372.768959
248,121,373.148001
251,137,373.620282
252,119,373.969188
651,332,375.137827
246,129,375.498457
728,689,377.605301
625,356,378.701753
245,117,379.076098
252,105,379.394631
1324,613,381.230128
623,356,382.398987
225,159,382.928719
612,392,384.250246
251,119,384.585199
1020,885,387.3627
606,294,388.308905
1046,518,389.881996
651,326,390.903289
248,121,391.247235
625,368,392.532978
633,300,393.502662
248,121,393.871364
1032,977,396.922179
1431,733,399.316076
614,374,400.480683
616,328,401.586425
243,135,402.014673
248,123,402.416558
636,338,403.52276
1348,536,405.091262
250,117,405.439827
1426,570,407.294386
239,149,407.827913
251,117,408.19403
812,516,409.767793
617,306,410.758805
1323,854,413.522625
1573,821,415.994422
613,344,417.068587
246,129,417.446409
1331,640,419.470018
1335,568,421.162246
611,384,422.451936
1428,735,424.847055
635,318,425.833582
624,348,426.937833
617,290,428.025581
628,290,429.046733
240,135,429.474005
627,374,430.607356
635,330,431.576305
246,121,431.930931
243,139,432.450943
250,121,432.848513
632,364,433.899228
245,121,434.28687
243,129,434.707184
639,336,435.754228
628,310,436.613233
248,121,436.995234
1427,793,439.543091
623,382,440.652112
251,119,441.094697
235,123,441.457251
636,338,442.482293
607,306,443.506119
248,105,443.86589
247,107,444.228497
1426,589,446.044601
1340,610,447.992135
244,127,448.533735
248,123,448.895838
604,258,449.683583
1423,641,451.716656
627,366,452.880463
1310,770,455.42229
611,290,456.335586
632,332,457.498962
783,546,459.262915
608,282,460.101581
251,107,460.483381
252,119,460.846655
1339,638,462.860451
252,105,463.188245
248,113,463.523432
1339,800,466.030316
634,296,466.988389
251,109,467.310463
248,113,467.691869
253,119,468.052842
741,454,469.373886
615,380,470.53711
1337,689,472.74668
618,342,473.833705
