#{"t_start": 1555826226.7979755, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
124,394,4.529491
136,556,7.543411
188,8056,51.222767
130,1106,57.206471
107,7997,100.798291
94,1389,108.285113
78,2115,119.729082
-59,1594,128.341456
-285,7997,171.769037
-450,7997,215.137941
-294,7997,258.202638
-438,7997,301.656639
-457,7997,345.177606
-62,1403,352.740957
-414,7997,396.199828
-445,7997,439.284716
-385,7663,480.996235
-1,2153,492.601668
-236,7997,536.186915
-355,7997,579.275239
-253,7997,622.845091
-249,7997,666.538055
6,1840,676.455467
-275,7997,720.081813
-243,6945,757.547904
-212,8055,801.585207
-209,4871,827.864393
-297,7997,871.650532
106,7997,915.444834
-345,6877,952.480547
-145,3997,974.051465
-373,7997,1017.87714
-359,7997,1061.819111
-170,8055,1105.336339
61,7997,1149.282359
-48,8055,1193.600322
-11,4103,1215.792731
103,8055,1260.265465
60,8055,1303.861219
-230,7997,1347.971954
-90,8055,1392.313445
-62,1393,1399.844001
-285,7997,1443.970064
-341,7997,1487.066054
-389,7997,1531.119448
-455,7997,1575.197163
-337,7997,1618.266727
-333,7997,1662.348871
-376,7997,1706.509849
-89,2460,1719.760586
-308,7997,1764.867674
-290,6992,1807.323376
-307,7997,1855.663965
-184,7997,1903.001765
-261,7997,1951.390708
-237,5096,1981.495129
-223,7997,2029.891792
-219,8055,2078.651484
-193,8055,2126.248988
84,651,2131.292997
3,7997,2178.621308
-16,1525,2187.664175
-166,8055,2236.514006
-147,7997,2284.989339
-263,5216,2315.839097
-189,8055,2364.750172
-333,7997,2412.043247
-292,7997,2460.521193
-328,7997,2509.005258
-428,7997,2556.231179
-415,7997,2604.725759
-450,7997,2653.158313
-251,6227,2689.91044
-10,1864,2700.944732
-116,2426,2716.722975
-206,8055,2764.300992
-63,8055,2813.431377
-119,2264,2826.850774
-266,7997,2875.654048
-117,2414,2889.934572
-49,1321,2897.76525
-187,7997,2946.601622
-260,7997,2993.918917
-344,7997,3042.764474
-153,3066,3060.8877
472,6927,3103.431623
267,8056,3152.999894
-128,8055,3200.650048
172,388,3202.974902
-118,8055,3252.284963
-63,1567,3261.54822
108,663,3265.501123
-274,7997,3314.45583
47,707,3318.655408
-358,7997,3367.613502
-254,7997,3414.910273
-119,8055,3464.317254
-242,7997,3513.397928
-262,7997,3560.592951
-188,7997,3609.621223
-122,7997,3658.695236
-191,5774,3692.795377
-388,7997,3741.939502
-263,7997,3789.204394
-179,6181,3827.608387
-423,7997,3876.811729
-100,8055,3924.417855
-316,7997,3973.680108
-150,7997,4022.915615
-295,7997,4070.17627
-35,1172,4077.12308
-145,7997,4126.41547
119,2105,4138.859606
-272,7997,4188.198068
-104,7997,4237.474123
-464,7997,4284.635781
-455,7997,4333.847965
-441,7997,4383.157324
-425,7997,4430.279572
-200,5246,4463.386193
-440,7997,4510.535638
-407,7997,4559.990753
-423,7997,4609.365844
-400,7997,4656.553442
