#{"t_start": 1559817804.5976312, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
366,7997,39.25309
630,3010,53.558306
569,1557,60.472304
245,248,61.577002
149,448,63.772833
553,3914,82.439137
804,5421,107.910664
904,3352,122.813738
560,877,126.716506
555,623,129.442432
624,410,131.252609
214,272,132.664146
180,272,133.801819
214,250,134.697615
196,215,135.56604
730,1132,140.52442
204,203,141.3746
1399,982,145.340782
600,376,147.00483
593,524,149.041727
245,159,149.711257
604,546,151.704335
240,163,152.262371
729,711,154.87007
739,588,156.982122
641,406,158.560872
237,191,159.17757
605,498,161.096402
632,292,162.248078
613,456,163.950309
235,185,164.603127
626,452,166.141229
632,354,167.529395
1042,621,169.77133
1032,786,172.658357
629,458,174.358171
1408,863,177.445213
248,131,177.960392
1040,668,180.231905
608,480,181.96023
247,125,182.451723
218,183,183.098777
605,370,184.485314
247,123,184.861459
1845,1036,188.637293
239,135,189.205329
1024,877,192.247675
235,145,192.807684
233,151,193.321534
634,294,194.328008
622,396,195.573997
1035,599,197.504998
1695,829,200.173979
244,131,200.596809
610,280,201.525035
613,452,203.240932
613,396,204.505331
233,143,205.026123
1048,508,206.755536
236,141,207.231348
607,430,208.635661
1037,598,210.710652
1056,575,212.566677
620,428,214.06395
236,141,214.497947
251,127,214.972487
247,123,215.360969
249,121,215.805295
247,135,216.291813
246,139,216.78281
1034,655,219.19887
1581,773,222.004522
250,135,222.498092
245,133,222.967437
247,127,223.41942
241,139,223.850248
247,123,224.278395
1338,650,226.445367
599,332,227.587547
247,123,228.023877
229,155,228.586765
612,442,230.024779
247,149,230.570409
240,135,231.00463
647,294,231.923908
1044,611,233.993865
247,127,234.392574
223,171,234.90732
1035,783,237.38908
239,155,237.92807
621,358,239.141831
1332,766,241.554892
241,139,242.038823
246,141,242.484931
252,117,242.905904
252,115,243.281746
613,286,244.172288
1690,795,246.796677
247,125,247.202108
239,157,247.782658
241,137,248.425278
243,153,248.880533
249,111,249.203323
232,167,249.701971
638,595,251.524232
247,111,251.945475
250,123,252.333436
631,350,253.378175
245,115,253.749596
1424,751,255.843672
605,328,257.042115
250,159,257.601296
248,135,258.074436
250,135,258.535073
607,274,259.624907
235,161,260.128966
251,123,260.528544
605,235,261.386922
603,388,262.703067
250,131,263.150583
238,139,263.669158
247,137,264.097218
252,109,264.562832
619,304,265.736704
604,412,266.942019
625,358,268.223305
249,107,268.66709
232,153,269.157097
625,398,270.529801
610,302,271.509889
251,119,271.910887
648,394,273.158923
246,145,273.665035
1068,465,275.417082
606,378,276.79958
248,117,277.230038
600,442,278.87435
246,121,279.283636
606,396,280.68344
1429,613,282.659919
627,408,284.058911
238,173,284.642284
1045,543,286.496739
1419,641,288.724899
1343,694,290.947021
246,123,291.32296
802,592,293.150301
1043,477,294.779788
250,123,295.162324
245,147,295.713537
245,123,296.116122
619,346,297.28461
620,282,298.153055
252,115,298.511052
634,294,299.434469
1431,615,301.353503
242,137,301.794239
603,276,302.728544
243,141,303.131633
251,123,303.522897
614,338,304.571058
652,318,305.520661
252,119,305.841814
635,346,306.991466
608,238,307.802435
246,123,308.270172
622,278,309.10464
244,125,309.545007
1034,540,311.272725
1038,617,313.189658
1337,769,315.672192
629,342,316.740844
625,322,317.791156
1573,815,320.222708
1028,766,322.5954
1683,962,325.510821
603,314,326.524542
760,653,328.523864
627,304,329.423753
