#{"t_start": 1559817804.6168914, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
253,8056,39.41852
189,306,40.979732
183,548,43.666176
217,284,44.979718
581,3601,62.119888
618,2528,73.863553
187,282,75.079636
581,1120,80.645961
579,1465,87.431041
964,1556,93.924343
580,1038,99.378786
217,173,100.147869
884,4061,118.462156
1269,1626,125.674248
245,131,126.214711
604,458,128.39594
1267,1714,135.598486
1028,1060,139.692019
621,506,141.7221
608,312,143.242752
631,456,144.967644
603,508,146.933015
1285,1208,151.424063
227,169,151.997873
1403,964,155.498086
235,231,156.407858
614,460,158.247238
248,151,158.868282
620,440,160.468022
1031,704,162.892111
611,436,164.405236
240,143,164.918395
1044,763,167.574574
219,171,168.237515
246,139,168.688875
238,169,169.347608
1426,809,172.27774
618,286,173.360622
209,223,174.092525
236,149,174.597066
247,133,175.114205
249,123,175.561114
1037,785,178.29802
237,155,178.881185
608,476,180.467873
1321,748,183.003
629,651,185.396048
627,452,186.876957
245,131,187.343984
633,312,188.541289
234,151,189.226239
233,157,189.791495
248,129,190.247767
232,151,190.867741
233,153,191.388874
733,540,193.407093
587,470,194.969265
244,121,195.405689
595,440,196.94496
610,396,198.316226
248,127,198.76131
236,141,199.269947
229,143,199.804138
250,135,200.29464
612,364,201.572683
241,157,202.08749
250,121,202.485226
247,145,202.928722
1423,659,205.165135
629,322,206.186507
602,466,207.757344
243,135,208.306774
249,123,208.806535
630,328,209.920781
616,258,210.803702
1030,728,213.21103
806,739,215.771012
813,609,217.908683
772,514,219.725492
234,139,220.243333
242,137,220.667017
245,135,221.114177
246,171,221.727736
252,125,222.169795
1031,709,224.514576
616,276,225.432586
1046,426,226.922092
247,161,227.440018
220,161,227.99136
631,350,229.165593
603,330,230.174914
1332,758,232.563285
243,143,233.055882
631,304,234.052926
1339,631,235.942343
1050,645,238.200837
619,382,239.518131
1315,723,241.729067
634,352,242.853427
1034,785,245.383917
745,534,247.161875
1337,732,249.719513
247,123,250.157983
803,575,251.930048
608,350,253.022243
248,113,253.377584
608,286,254.268322
605,374,255.503623
627,438,256.981601
247,123,257.433775
244,111,257.812128
630,336,259.038845
248,153,259.537223
815,562,261.401309
609,356,262.674799
600,324,263.807339
1331,793,266.4542
245,147,266.917011
246,119,267.322841
618,380,268.64388
248,125,269.057386
600,244,269.932083
1034,539,271.730051
615,274,272.650674
238,149,273.135232
619,366,274.45017
251,123,274.948377
247,151,275.533608
1317,960,278.952279
1033,727,281.44637
770,669,283.601975
634,362,284.80362
607,316,285.791648
240,147,286.35612
248,125,286.807486
589,384,287.978604
622,370,289.248612
1036,636,291.292371
240,135,291.786692
610,378,292.942185
243,113,293.276544
245,115,293.709823
248,125,294.122576
246,111,294.531875
1429,809,297.05755
221,171,297.617705
627,352,298.650253
249,109,299.033928
249,125,299.439691
632,344,300.544968
812,625,302.604021
750,548,304.232664
248,113,304.662138
626,334,305.599519
1038,735,308.024899
1120,1228,311.875968
614,370,313.063087
636,348,314.300384
248,117,314.706952
629,350,315.878606
1041,655,317.89334
802,585,319.553148
1049,510,321.073639
815,566,322.809706
251,111,323.174609
633,296,324.154948
616,374,325.309235
252,105,325.690115
594,400,326.884275
612,454,328.244915
639,330,329.214077
1434,695,331.458477
250,119,331.834546
252,105,332.14387
248,113,332.487427
1047,523,334.107079
624,328,335.186184
1034,546,336.863495
1149,558,338.736546
635,346,339.782567
608,270,340.680242
1430,769,343.113371
613,366,344.315942
248,109,344.670167
621,398,345.943374
622,360,347.025926
629,300,347.978643
250,123,348.350649
252,105,348.673007
1033,624,350.639387
1325,702,352.957218
236,141,353.376284
250,123,353.75624
611,245,354.584943
249,145,354.997501
238,141,355.452738
250,131,355.842683
247,151,356.394339
631,306,357.209892
1041,524,358.828169
1698,865,361.459453
1310,610,363.397238
248,119,363.765714
247,121,364.130031
612,264,364.944853
238,131,365.41018
245,121,365.767148
243,131,366.176093
251,105,366.497358
616,488,368.193181
1038,559,369.963791
248,113,370.35418
624,350,371.524204
251,119,371.882824
625,354,373.013177
238,121,373.414539
1332,743,375.739373
613,328,376.815429
242,133,377.226616
1339,658,379.224384
1027,831,381.837754
244,117,382.222899
247,119,382.566807
247,121,382.981097
252,105,383.394502
249,111,383.760244
245,107,384.126979
245,133,384.52843
1328,716,386.768187
1672,1022,389.912805
248,115,390.303331
242,119,390.692284
619,380,391.829045
250,127,392.300436
250,123,392.703975
247,107,393.040268
249,139,393.470426
628,374,394.670079
606,278,395.559848
249,123,396.000771
1039,550,397.905463
648,382,399.11302
609,276,400.000379
1430,685,402.128433
746,526,403.708636
816,542,405.375617
242,133,405.79151
591,342,406.970778
243,135,407.432429
245,115,407.779033
252,105,408.08092
633,334,409.164103
1565,747,411.536077
635,358,412.703079
240,137,413.101637
252,105,413.434188
248,113,413.779368
619,274,414.654488
250,121,415.024821
1040,657,417.030319
238,127,417.416505
645,324,418.472688
609,388,419.684284
1687,1088,423.17908
623,380,424.330221
