#{"t_start": 1559817804.4868484, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
248,7997,38.588242
596,773,42.435258
55,649,45.306306
587,4163,63.806603
888,3274,78.813524
603,958,83.139188
223,280,84.415839
210,217,85.392044
153,328,87.115536
570,769,90.794141
865,4301,111.157657
183,300,112.395074
1270,2080,121.822388
223,258,123.242721
222,236,124.114402
1010,1232,129.656122
727,813,133.144011
159,272,134.257445
1282,1809,141.954594
236,175,142.693483
1026,716,145.60896
219,254,146.78709
241,187,147.524554
608,492,149.612764
1682,877,153.267104
1299,937,156.716519
606,462,158.337384
227,157,158.984709
615,414,160.58963
242,141,161.089831
236,163,161.640027
1013,1054,165.64109
806,631,167.808341
236,185,168.398295
606,420,169.862761
754,697,172.662337
619,392,174.020882
220,197,174.666914
235,151,175.343733
600,442,177.030339
611,460,178.664742
247,121,179.105551
1341,798,182.101601
250,147,182.660906
245,143,183.176735
243,147,183.716429
646,318,184.725765
236,189,185.426383
810,677,187.815487
1011,1075,191.685663
627,416,193.142737
242,133,193.661976
234,149,194.289603
625,374,195.719672
1327,781,198.48923
246,129,198.947895
242,139,199.389119
728,663,201.572016
1035,623,203.573185
246,117,203.979114
630,382,205.278568
248,143,205.788641
247,135,206.174407
245,133,206.626558
247,109,207.140878
238,163,207.683795
239,141,208.18054
1041,629,210.277068
1042,591,212.249515
617,416,213.598922
247,121,214.080641
235,151,214.554385
243,143,215.03877
632,304,216.13559
1407,1094,220.039342
599,486,221.649195
1030,659,223.960765
235,123,224.349852
1035,632,226.352681
651,326,227.474077
241,149,227.950662
623,430,229.256754
633,310,230.239968
250,145,230.779534
247,117,231.171153
243,127,231.662766
1041,677,234.003163
242,137,234.428853
251,109,234.832768
791,512,236.374879
809,576,238.221913
774,492,239.914551
242,137,240.312401
252,109,240.681677
226,171,241.258692
236,141,241.696544
624,320,242.632395
1022,982,245.797371
1035,666,247.975919
632,390,249.381197
1851,833,252.020344
242,141,252.461395
800,560,254.172654
799,775,256.371325
1036,630,258.531172
