#{"t_start": 1555826226.702278, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
-274,7997,10332.845767
-41,1439,10341.349785
-405,7997,10388.606816
-455,7997,10440.878655
88,1467,10449.55257
-62,1465,10458.207781
-400,7997,10510.306368
-299,6667,10554.528177
-418,7997,10601.703737
-64,2354,10615.642856
-106,8055,10668.1305
-199,8055,10720.573373
-455,7997,10767.72436
-322,7997,10819.983392
-366,7997,10872.237293
-412,7997,10919.343134
-450,7997,10971.550124
-376,7997,11023.763402
-455,7997,11070.904747
-409,7997,11123.185983
-187,3806,11145.658861
-306,7997,11198.07263
-210,6089,11239.226611
-290,7997,11286.437989
-367,7997,11338.821389
-201,4075,11362.928012
-364,7997,11415.445719
-286,7997,11468.000823
-50,8055,11515.628371
-133,8055,11568.53397
-262,7997,11621.084118
-140,7997,11668.337446
-386,7997,11721.008584
-4,8055,11774.019451
-55,4450,11800.338827
-132,8055,11853.79346
-26,8055,11901.396051
-256,7997,11954.116205
-168,3333,11973.809656
-387,7997,12026.583539
-227,7997,12079.393757
-134,8055,12127.022297
-201,7997,12179.964943
-443,7997,12232.988187
-409,7997,12280.163497
-3,7997,12333.089031
43,705,12337.269103
-422,7997,12390.140581
-324,6620,12429.206863
-293,7997,12482.172332
-388,7997,12535.153573
-382,7997,12582.332434
-292,7997,12635.328996
-329,7997,12688.372343
-390,7997,12735.511525
-453,7997,12788.487443
-370,7997,12841.67817
-415,7997,12888.814663
-379,7997,12941.886087
-426,7997,12995.029845
-306,7997,13042.164931
-368,7997,13095.333833
-446,7997,13148.567761
-372,7997,13195.710048
-132,2944,13213.095032
-368,7997,13266.316126
-323,7997,13319.492776
-267,7997,13366.582891
-393,7997,13419.913548
-343,7997,13473.180551
-357,7997,13520.323769
-406,7997,13573.604198
-390,7997,13626.930135
-449,7997,13674.068894
-450,7997,13727.704951
-391,7997,13781.085785
-417,7997,13828.25795
-77,1991,13846.339254
-422,7997,13893.498992
-352,7997,13946.951059
-282,6283,13983.980287
-357,7997,14037.545475
-414,7997,14091.150858
-398,7997,14138.292954
-449,7997,14191.845859
-182,4863,14227.065032
-266,6069,14262.892565
-67,3196,14281.751299
-255,7997,14335.482972
-203,5046,14365.237285
-444,7997,14418.965907
-98,8055,14473.063905
-68,2243,14486.326816
-369,7997,14540.059354
-281,7997,14587.250707
-183,6239,14630.696267
-130,2596,14646.004075
-340,7997,14699.843548
-285,7997,14747.075291
-351,7997,14800.959295
-370,7997,14854.881345
42,709,14859.079835
-222,7997,14906.31051
-342,7997,14960.247199
-365,7997,15014.343716
-310,7997,15061.553206
-237,7997,15115.60377
-191,7997,15169.74368
-237,4795,15198.040149
-66,4777,15226.288048
-227,7997,15280.432589
-200,7997,15334.585389
-321,7997,15381.782642
11,1557,15397.945229
-157,7997,15445.167275
-257,7997,15499.370087
-298,7997,15553.569892
-276,7997,15600.760303
-71,2013,15612.62895
-291,7997,15666.878067
199,526,15669.980271
-422,7997,15724.267732
-394,7997,15778.702066
-185,4298,15803.970336
-410,7997,15858.411714
-357,7997,15905.64184
-453,7997,15959.978359
-237,7997,16014.475876
-422,7997,16061.655856
-381,7997,16116.171079
-130,8055,16171.153805
-95,2169,16183.969286
-202,7997,16231.181828
-385,7997,16285.73521
-451,7997,16340.307412
-314,7997,16387.521289
9,962,16393.213645
-288,7997,16447.804964
-405,7997,16502.383359
-358,7997,16549.580883
177,918,16562.485982
-227,7997,16609.667774
-219,7997,16664.29775
-437,7997,16718.983388
-445,7997,16766.111295
-241,7997,16820.773944
-407,7997,16875.547176
-347,7997,16922.725836
-455,7997,16977.343215
-289,7997,17032.177765
-423,7997,17079.358928
-76,2041,17091.423858
-215,7997,17146.246461
-355,7997,17201.115658
-420,7997,17248.272449
-127,3620,17277.370433
