#{"t_start": 1555826226.7988486, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
128,7997,45.764424
-65,7997,89.342029
-126,3581,108.668104
-99,2548,122.402922
-195,4480,146.874466
-305,7997,189.970558
-406,7997,233.359761
-393,7997,276.789478
-306,7997,319.898102
-426,7997,363.404439
-364,7314,403.159542
-430,7997,446.271734
-403,7940,489.466024
-180,8055,533.348219
-200,7997,576.478719
-131,2915,592.704471
-324,6586,628.129341
-36,1688,637.20732
-408,7997,680.938993
-285,7997,724.567593
-173,7997,767.726292
-433,7997,811.428149
-311,6444,846.219207
-298,7997,889.970999
55,3080,906.586528
-35,1022,912.126669
-91,2897,928.408784
-441,7997,971.483962
-259,5274,1000.606288
-274,5950,1032.68694
-220,5008,1060.522274
-228,7997,1103.719023
-208,7997,1147.661087
176,7997,1191.657573
47,2711,1206.320181
139,7997,1250.430362
-98,3475,1269.303522
163,793,1273.623143
191,8056,1318.080775
-208,7997,1361.260364
-375,7997,1405.304003
-407,7997,1449.415139
-385,7997,1492.494257
-443,7997,1536.570159
-374,7997,1580.642052
-383,7997,1623.681079
-361,7997,1667.794428
-345,7997,1711.93732
-350,7997,1756.260474
-269,5551,1790.187504
-330,7997,1837.559678
-172,3674,1860.310154
-53,8055,1908.004247
-359,7997,1956.376449
-261,7997,2004.734466
-95,2125,2017.311337
-398,7997,2065.745543
3,3417,2085.959623
-214,7997,2134.359902
16,7997,2181.721529
18,579,2185.140812
-173,4107,2210.672546
-68,1557,2219.900146
-144,8055,2267.517843
-202,4556,2295.658241
-68,7997,2342.954704
-16,1692,2354.223479
-309,7997,2401.506957
-412,7997,2450.029313
-150,7997,2498.486818
-437,7997,2545.718853
-427,7997,2594.210973
-454,7997,2642.675414
-326,7997,2689.839501
-255,5363,2722.978182
70,8055,2770.567629
-94,8055,2819.689191
108,7997,2868.488147
-200,5676,2902.059449
-246,7997,2950.84922
-353,7997,2999.726787
-316,7997,3047.015225
36,8055,3096.221514
-24,1419,3104.656941
196,7997,3153.864726
-39,2119,3166.415431
-6,885,3171.68867
-131,7997,3220.620651
-268,7997,3267.913396
-24,1778,3278.422195
-202,4801,3308.523331
-46,3242,3327.706148
-297,6897,3370.180098
-233,7997,3417.520675
-54,7997,3466.562685
-198,7997,3515.618701
-412,7997,3562.816297
-365,7997,3611.863038
-165,7997,3660.931031
-140,7997,3708.161061
-180,7997,3757.293229
-418,7997,3806.433293
-181,3734,3828.490162
-232,7997,3877.685298
-242,7997,3924.954541
-315,7997,3974.196922
-45,948,3979.818303
-207,7997,4029.050995
68,1303,4036.76739
-147,8055,4084.402034
-221,7997,4133.70396
-82,7997,4183.022778
-370,7997,4230.218236
-448,7997,4279.486913
-455,7997,4328.699777
-445,7997,4375.842161
-324,7997,4425.109299
-453,7997,4474.448132
-423,7997,4521.626775
-446,7997,4571.019043
-444,7997,4620.397833
-395,7997,4667.62506
-407,7997,4717.060465
-171,4169,4741.638832
-434,7997,4791.151011
-406,7997,4840.620382
-448,7997,4887.790623
-450,7997,4937.296068
-407,7997,4986.866258
-455,7997,5034.030842
-173,4572,5063.457797
-442,7997,5113.166873
-170,4980,5142.54378
-359,7997,5192.187751
-349,7997,5239.41499
-298,7997,5289.170607
-414,7997,5338.931033
-452,7997,5386.089735
-438,7997,5435.882264
-378,7997,5485.707701
-14,681,5489.740132
-394,7997,5536.964812
-372,7997,5586.887432
-246,7997,5636.754622
-455,7997,5683.942939
-455,7997,5733.802746
-132,7022,5778.018412
-314,7112,5820.047273
-136,3918,5843.196006
-343,7997,5893.195014
-385,7997,5943.238746
-340,7997,5990.448664
-171,3353,6013.131786
-319,7997,6060.285666
-448,7997,6110.342028
-417,7997,6160.440945
-423,7997,6207.588184
-391,7997,6257.709791
