#{"t_start": 1555826226.7588341, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
-4,795,6.728579
44,1995,17.535215
53,713,21.413133
118,366,23.398849
462,7068,61.697246
122,540,64.601775
-4,649,68.447159
105,875,73.205427
44,7997,116.440983
-189,7997,159.861662
-339,7997,203.269232
-420,7997,246.321284
-116,2450,259.52173
-238,7997,302.990969
-443,7997,346.515405
-447,7997,389.575492
-404,7997,433.070841
-424,7997,476.558919
-380,7997,519.636115
-442,7997,563.225575
-276,7997,606.830958
-329,7997,649.857017
-288,7997,693.543875
-259,7997,737.220522
-270,7997,780.324513
-328,7997,824.053332
-124,4412,847.87413
-278,7997,891.664495
85,7997,935.424767
-297,7997,978.489416
-227,5507,1008.881861
-363,7997,1052.793177
-54,7997,1096.023767
-91,7997,1139.964972
6,831,1144.455266
3,861,1149.124283
-77,7997,1193.129073
202,8110,1236.980575
-4,725,1240.909128
134,7997,1285.093208
71,8055,1329.523652
-22,1582,1338.082592
39,1760,1347.609728
-390,7997,1391.655017
2,1573,1400.135161
25,2805,1415.292496
-242,4943,1442.958139
-439,7997,1486.041304
-57,2187,1497.828191
-412,7997,1541.905857
-126,6909,1580.120039
-455,7997,1623.167821
-188,7997,1667.286993
-279,7997,1711.440916
-384,7997,1755.698671
-428,7997,1804.095001
-310,6500,1843.614179
-427,7997,1890.932225
-214,7997,1939.290211
-419,7997,1987.678134
-438,7997,2034.968033
-315,7997,2083.376967
143,1624,2092.98137
-27,1545,2102.112998
-81,2861,2119.039697
178,516,2122.065472
268,7020,2164.764625
5,2663,2180.565463
-180,7997,2229.046295
193,556,2232.343382
-187,8055,2281.155624
60,7997,2328.46096
-152,4121,2354.086441
-301,7997,2401.376498
-404,7997,2449.882779
-391,7997,2498.348482
-255,7997,2545.584312
-317,6412,2584.72012
-399,7997,2631.863846
-284,6235,2669.987582
-276,7997,2718.662344
-219,7997,2765.885836
-221,7997,2814.646329
84,7997,2863.442889
-35,7997,2910.760138
-170,4512,2938.95961
-129,7997,2986.258653
-294,7997,3035.1011
76,7997,3083.961278
53,763,3088.474148
123,7997,3136.042679
163,534,3139.207979
-25,8055,3188.543813
-197,5014,3219.848027
170,849,3224.882024
-426,7997,3272.180095
-336,7997,3321.142434
-213,7997,3370.09866
-117,7997,3417.410113
-122,8055,3466.809051
-275,7997,3515.88102
-427,7997,3563.066926
65,7997,3612.110257
-227,4508,3638.744241
-54,1577,3648.081254
-335,7595,3694.772091
79,753,3699.225812
-230,7997,3748.35831
-282,7997,3797.629247
-391,7997,3844.774747
-299,7997,3893.910514
-223,7997,3943.283772
-85,5377,3974.963423
-191,5535,4007.71394
151,992,4013.59026
-68,2538,4030.587015
-174,7997,4077.852519
-201,7997,4127.142797
-60,1489,4135.943399
-324,7997,4185.284155
-360,7997,4232.489749
-432,7997,4281.750827
-445,7997,4330.958802
-455,7997,4378.114779
-425,7997,4427.384852
-416,7997,4476.710061
-455,7997,4523.898935
-451,7997,4573.302273
-389,7997,4622.660048
-414,7997,4669.880796
-446,7997,4719.338346
-455,7997,4768.820753
-455,7997,4815.964012
-412,7997,4865.473476
-443,7997,4914.977377
-430,7997,4962.143004
-455,7997,5011.701334
-444,7997,5061.325987
-378,7997,5108.583084
-435,7997,5158.227098
-400,7997,5207.894583
-433,7997,5255.112863
-285,7997,5304.868664
-390,7997,5354.601945
-377,7997,5401.772762
-317,7997,5451.578879
-265,7997,5501.414622
-125,3140,5519.968604
-380,7997,5569.885079
-314,6957,5610.939707
-369,7997,5660.820541
-387,7997,5710.711085
-261,7997,5757.895025
72,1092,5764.354462
-399,7997,5814.303135
-347,7997,5864.37093
-336,7022,5905.798545
-251,7997,5955.837426
-417,7997,6005.964064
-269,7997,6053.128615
-422,7997,6103.174827
-454,7997,6153.27708
-397,7997,6200.419922
-433,7997,6250.528708
-303,7997,6300.70537
-376,7997,6347.865437
-338,7200,6393.327008
-433,7997,6443.514629
-429,7997,6490.701632
-409,7997,6540.956558
-309,7997,6591.276248
-446,7997,6638.443101
-409,7997,6688.827101
-65,1700,6698.888706
-252,7997,6749.58651
-106,2444,6764.058277
-281,7997,6814.484891
-327,7997,6861.709715
-382,7736,6910.598448
-98,6033,6946.289134
-199,4312,6975.033053
-413,7997,7022.164957
-438,7997,7072.593518
-427,7997,7123.098924
-430,7997,7170.212265
-434,7997,7220.720567
-410,7997,7271.274488
-439,7997,7318.393013
-318,7302,7364.931652
-246,7997,7415.667035
-14,3575,7436.766376
-295,7997,7487.41519
-372,7997,7534.602207
-164,7997,7585.336191
-93,7997,7636.132223
63,757,7640.619063
143,691,7644.723126
62,2017,7656.687443
-89,1937,7668.170317
-41,1114,7674.790729
-210,4633,7705.754806
-170,7997,7752.988897
-107,8055,7804.231697
47,7997,7855.244651
-263,7997,7902.519937
218,8056,7953.967287
0,1904,7965.25007
-54,7997,8016.366884
-61,1933,8027.787423
-207,7997,8078.815122
-425,7997,8125.993275
-421,7997,8177.039175
-366,7320,8224.028593
-326,7997,8271.247041
-94,1943,8282.710392
-296,7997,8333.820072
36,3979,8357.343503
-255,7997,8408.513581
-331,7997,8459.627859
-206,5423,8491.627558
-240,7997,8542.862518
-173,7997,8594.147724
-89,8055,8641.705185
-63,1297,8649.38743
-48,1686,8659.383549
-259,7997,8710.724308
