#{"t_start": 1555703881.1471188, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
136,727,5.580309
263,7997,41.779639
676,2414,52.760524
437,7997,90.031594
428,6512,121.185051
38,466,123.306457
757,6452,154.53829
718,6934,188.187891
-6,593,191.272326
103,524,193.847979
454,5706,222.839561
87,617,225.635544
154,366,227.274454
707,2454,238.686708
192,296,240.174916
196,384,241.986412
705,7249,277.367703
794,5657,305.523126
671,2177,315.280073
591,1636,323.0876
535,1447,330.717507
170,575,333.862226
75,635,336.829415
263,7997,376.794774
209,272,378.532638
562,1997,387.957958
512,1800,396.82364
267,8110,436.6409
184,248,437.689478
772,6006,466.584457
708,7179,502.742464
511,4879,526.302318
227,280,527.559677
131,428,529.675277
650,2001,539.460081
179,827,543.360071
208,201,544.315395
207,663,547.527951
598,3012,562.05026
222,334,563.69952
148,627,566.579577
166,713,570.436258
437,8110,608.595451
195,282,609.845366
239,177,611.285122
261,7997,648.708032
180,476,650.805409
114,735,654.923921
814,5136,679.904546
40,809,684.976096
19,476,687.107508
214,252,688.292322
586,1198,693.841074
1079,5063,721.425139
499,2426,733.748146
63,609,736.519601
553,5633,764.095175
406,8110,805.795459
648,3056,824.564258
172,308,826.333198
127,362,828.329417
210,344,830.299308
73,408,832.619521
198,268,834.16072
238,195,835.261955
137,324,837.124424
542,5288,869.064969
989,8033,914.873937
776,5939,945.452219
173,745,948.919925
223,274,950.196705
821,5136,974.765429
663,2159,984.59759
61,719,988.869978
249,7997,1028.039296
547,3748,1048.367934
735,6634,1082.467872
398,7997,1121.970306
734,6722,1158.23658
398,7997,1202.541393
52,932,1208.226223
201,320,1209.938984
480,4849,1237.328969
680,1549,1246.212903
520,5882,1278.284601
491,3174,1295.148021
208,7997,1335.725505
668,3178,1352.355386
612,3188,1368.625519
164,340,1370.289082
100,974,1375.399259
108,372,1377.070143
651,2998,1392.829509
698,7710,1434.066305
192,512,1436.611439
71,492,1439.108407
547,1182,1446.191762
547,2406,1458.457565
17,775,1463.536561
143,386,1465.733729
205,248,1466.923964
1143,3718,1485.586535
179,629,1488.776308
155,653,1493.093423
664,2079,1503.242033
