#{"t_start": 1555703881.1280053, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
133,869,6.217145
389,8110,42.919048
439,7997,79.631389
782,6814,112.039539
197,8110,151.546072
541,4372,171.926722
120,514,174.325276
100,1142,179.709378
181,434,181.699426
465,3291,199.838057
247,141,200.702399
692,2280,211.907682
108,1469,219.266801
202,318,220.662412
81,677,223.88167
165,306,225.228809
10,709,228.371184
785,5824,256.653683
568,1708,264.768048
675,8004,304.310005
149,338,305.94426
218,8056,345.308136
681,1884,354.769693
532,4133,375.196364
97,625,378.728746
707,7475,414.747917
554,4227,435.393053
253,8056,475.142715
151,392,476.939067
177,262,478.097469
145,597,481.562303
484,2938,495.928165
79,410,497.982273
200,230,499.504916
267,7997,537.439072
413,7126,572.318133
201,356,573.933633
372,4763,597.308903
207,456,599.372375
1050,5807,626.495863
79,536,628.997431
91,402,630.945727
88,476,633.221498
232,151,633.906024
172,270,635.102774
539,8110,674.555109
82,883,678.666455
440,7997,721.120833
180,320,722.744637
185,400,724.704684
155,502,727.081256
82,502,729.580115
501,2705,742.722361
1069,1782,751.424467
520,4267,772.918033
611,2207,784.716426
674,2538,798.036097
216,306,799.435896
195,7997,845.801066
669,7637,889.160392
678,2530,903.833508
210,7997,946.84112
987,3419,962.970671
569,3870,981.203589
443,7997,1021.124697
195,7997,1063.488171
159,486,1065.782932
139,725,1069.112947
88,665,1072.255491
823,5828,1101.276051
228,7997,1142.502411
587,1106,1148.889819
558,5471,1178.808946
12,518,1181.724264
190,575,1184.925024
226,199,1186.037804
199,7997,1232.459266
753,7997,1275.65474
186,583,1278.728384
606,703,1282.427565
485,8110,1323.590518
119,338,1325.284221
403,8055,1367.471072
98,767,1371.144707
267,7997,1413.382914
166,284,1414.769134
677,2803,1429.882688
827,5106,1457.159687
211,246,1458.283834
4,859,1463.789643
945,2422,1476.643955
