#{"t_start": 1555703881.1300786, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
443,8055,38.863642
691,7396,72.432577
-22,781,76.033032
479,8055,114.712689
209,338,116.288089
128,432,118.427323
212,260,119.738606
700,7273,154.69106
847,4992,178.054868
619,3425,196.309511
220,352,198.156559
95,837,203.145938
748,6599,234.323079
396,8110,273.204143
195,721,277.099655
577,901,281.477563
636,2376,293.493701
267,8056,332.849662
94,502,335.214459
423,7997,374.986275
1059,6142,405.105308
189,573,408.224129
58,496,410.464012
427,7997,448.831155
45,446,451.354571
399,8110,491.342775
435,8110,531.134006
222,356,532.727422
508,3178,548.241635
160,360,549.895964
836,4866,573.430781
547,1242,579.227846
574,7997,617.550647
578,1004,621.951679
398,8110,660.916896
505,4815,685.548122
667,2071,695.100127
133,390,696.986292
526,5583,727.159081
178,448,729.382945
174,270,731.468592
179,362,733.02392
103,763,736.506094
175,470,738.630379
209,318,740.146243
590,2829,753.70934
512,5391,781.398691
572,998,786.766039
188,352,788.683637
250,8056,833.703838
125,386,835.888261
659,2043,848.289019
267,7997,893.78048
358,7997,937.808084
597,4388,959.581008
1033,6244,989.638357
214,165,990.426786
150,442,992.559007
97,458,994.787645
146,833,998.706975
1296,7629,1037.821045
205,450,1040.127365
496,6965,1075.519193
767,6138,1105.86796
98,480,1109.016335
679,7899,1150.07973
187,374,1152.01536
596,649,1156.118432
373,8110,1200.927459
725,7155,1242.266376
532,1471,1249.66982
556,1581,1258.999533
188,374,1260.793221
410,8110,1303.84608
78,430,1305.821636
713,2348,1316.722126
149,386,1319.598113
161,366,1321.262886
504,5206,1347.416109
161,278,1349.987182
695,7630,1388.834799
1019,2721,1403.721209
640,8055,1446.932055
456,6422,1480.819197
