#{"t_start": 1555703881.150716, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
267,7997,38.574717
709,2037,47.81171
503,8110,85.484715
863,4192,105.20331
120,450,107.260198
509,4598,129.553134
258,7997,167.416636
714,7207,204.888282
469,7070,238.189957
512,5708,266.023281
590,3914,285.065248
598,1004,290.406294
439,7997,328.787802
159,460,331.332071
575,1152,337.153494
216,227,338.541879
230,8056,378.926011
204,330,380.461212
534,4723,403.277637
466,5812,431.497779
706,8056,470.865358
722,2388,483.163632
92,839,487.088566
539,2171,497.935289
575,1469,505.174386
809,5051,529.607688
528,1826,537.918238
816,4767,561.404226
778,5554,588.213855
634,2829,601.809243
526,2079,611.864702
265,8056,649.351516
534,2033,659.58265
776,5727,688.325343
145,352,689.937934
788,7657,730.106426
186,571,733.323962
675,3244,748.882536
947,7820,788.65133
452,3012,803.780639
193,374,806.637581
193,312,808.414729
507,5451,839.876294
449,5268,871.731603
55,516,874.748964
665,2783,889.217662
481,2755,905.265463
695,7583,946.057314
243,8056,984.008416
628,2881,998.557511
222,201,999.521865
525,2482,1011.397548
721,7014,1048.342095
459,5435,1075.820172
68,914,1081.167839
267,7997,1120.589681
113,548,1124.183019
266,7997,1166.752712
404,8110,1212.128079
168,274,1213.686586
368,8055,1259.424135
108,420,1261.525501
443,8055,1304.196156
183,316,1305.660868
475,6911,1340.324179
691,2526,1353.973876
209,7997,1395.081311
135,508,1399.016613
385,7641,1438.431588
323,7997,1481.430831
782,5900,1512.810212
184,368,1514.667419
