#{"t_start": 1555703881.119283, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
168,546,4.773754
612,7997,41.024638
725,7037,73.009633
628,4221,93.322499
578,1108,98.460392
203,378,100.362785
160,290,101.73056
1122,5996,130.47506
954,2429,142.624104
200,404,144.652212
366,8055,182.174429
186,823,187.182268
561,1674,196.045824
437,6959,230.015723
405,8055,268.842626
200,440,270.936828
127,434,272.966427
150,492,275.751513
616,3110,291.323732
615,8092,330.452531
216,225,331.52947
672,3319,348.598738
87,410,350.611711
433,7997,389.913263
582,7997,429.027148
813,7997,467.755085
728,6847,502.324828
41,773,505.960838
520,4921,529.7592
811,5453,556.10779
139,404,558.013875
661,1455,565.02157
656,2516,576.982316
568,4665,599.887961
218,223,600.869582
449,6468,631.267727
129,538,633.765259
177,755,637.073638
546,1146,642.830706
194,232,643.876946
192,7997,683.12158
73,398,685.703382
505,2753,699.177103
439,8110,741.167766
643,2003,750.898593
581,3543,768.577394
416,6727,803.282778
595,992,809.518469
215,482,812.260021
363,8110,860.687732
171,1080,866.889118
523,7997,912.597534
545,3788,932.095761
941,2061,943.184071
420,7537,978.621294
919,2909,993.279536
112,990,997.92979
175,312,999.433983
266,7997,1040.445034
648,2115,1051.199652
72,424,1053.239312
197,340,1055.025105
209,266,1056.376667
221,195,1057.327399
203,326,1059.243693
500,4294,1081.665407
135,867,1085.61131
93,920,1089.878582
197,8056,1130.972135
238,161,1131.706143
44,530,1134.230108
371,4887,1160.76378
144,530,1163.597797
462,6097,1198.108899
91,703,1201.934912
823,4648,1229.879687
189,942,1234.40249
156,324,1235.86087
199,950,1241.858628
1150,4010,1263.554961
901,3371,1281.472046
524,3840,1300.77405
211,223,1301.837117
401,7318,1339.487027
699,7300,1377.213919
176,330,1378.695945
471,6261,1412.458172
215,472,1414.73068
364,7997,1457.480878
175,340,1459.06116
414,7997,1501.255975
174,829,1505.399733
