#{"t_start": 1555703881.152526, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
175,430,4.215954
192,310,5.634486
259,7997,41.831176
163,639,44.863124
683,7715,80.251022
49,550,82.896748
69,450,85.292045
856,4030,104.227261
524,2645,116.938767
82,512,119.516554
227,7997,158.02871
829,5000,181.311936
238,7997,222.562104
718,2213,232.90976
534,4618,255.337852
951,8093,294.73174
707,1108,299.845194
223,316,301.569062
808,5051,325.341425
729,6448,358.255928
460,5623,386.303143
179,725,389.706318
56,538,392.654538
462,2889,406.42252
160,1168,412.169679
823,4620,434.687569
844,4078,454.217107
162,611,457.143855
219,569,459.76821
196,462,461.948094
87,765,466.200312
656,7982,506.082502
190,8110,545.234108
412,7997,584.00788
163,362,585.725026
568,1612,593.329977
226,380,595.111847
56,464,597.785352
391,8110,635.547277
517,1780,644.130092
434,7997,684.173833
551,1391,690.480115
124,434,692.555978
213,282,693.872729
152,478,696.198371
249,8056,738.484724
540,1754,747.32794
677,2863,761.374019
620,3329,778.427857
99,388,780.251245
839,4553,803.5739
577,1732,814.026812
631,3880,836.658342
922,2933,854.350499
453,2935,871.916789
39,771,876.367461
436,7997,921.199256
615,709,924.568447
143,438,927.554382
230,165,928.323682
222,280,929.622178
225,205,930.539081
131,659,934.116731
88,697,937.389153
70,615,940.353207
141,621,944.13611
470,2827,957.80395
541,2101,967.135693
535,8056,1006.674811
126,703,1009.83053
565,5264,1037.540507
238,191,1038.56449
207,8056,1080.242567
260,8056,1119.948385
87,1357,1127.492975
733,1784,1135.884239
65,877,1141.044394
484,5050,1168.93395
266,7997,1213.711686
550,4440,1239.73884
384,7792,1281.632334
148,1066,1286.68829
226,246,1289.172333
760,6054,1319.510216
190,306,1320.897846
204,312,1322.264796
285,7997,1363.129713
618,3648,1382.921561
128,376,1384.658742
414,7997,1426.22771
134,414,1429.314851
179,468,1431.58507
856,4205,1454.279598
169,416,1456.543364
93,613,1459.37648
686,7736,1500.188391
490,2629,1514.835081
