#{"t_start": 1555703881.1337655, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
423,3618,18.989846
671,2051,28.191308
138,769,31.737066
501,2091,40.976073
586,4783,62.904536
845,4354,83.067949
500,4400,103.998402
197,240,105.150135
461,6017,133.965192
198,264,135.133077
560,1557,143.429029
193,434,145.503446
128,442,147.548632
127,885,151.674021
568,1987,160.927459
89,456,162.944461
209,7997,203.893785
438,7997,241.566925
463,5585,268.665539
456,7665,306.722713
800,5291,332.071312
187,573,335.185512
413,8110,375.616709
189,322,377.150128
168,324,379.17303
416,7395,414.790502
401,8055,453.831726
591,4129,474.747883
684,7533,512.201103
435,7997,550.281785
766,6232,580.235333
822,4915,603.960608
54,516,606.223931
164,368,607.874989
443,7997,645.932927
638,7997,685.895139
91,378,687.623599
494,5834,718.573233
679,7891,757.02834
200,278,758.343018
470,6508,793.165735
421,8110,838.011609
1169,7993,885.046353
26,773,888.606122
106,426,890.624765
438,8055,935.864324
119,938,940.338552
169,324,941.862675
267,8056,980.6238
582,1407,988.098199
689,2466,999.82379
183,328,1002.136778
441,7997,1042.284662
52,659,1045.342258
228,7997,1086.621246
124,476,1088.820886
850,4151,1109.933389
442,7997,1151.49324
679,3268,1169.602442
136,314,1172.226424
392,7352,1212.75094
131,320,1214.582434
571,3431,1234.637514
259,7997,1278.074394
222,8056,1319.686019
524,6145,1351.514377
479,5549,1379.264438
422,8110,1422.3943
790,5928,1454.562275
524,2247,1467.136258
825,6867,1502.459007
146,585,1505.227659
222,175,1506.117056
605,1118,1513.035679
