#{"t_start": 1555703881.127047, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
593,2709,14.632196
234,8056,51.066213
434,8110,88.872719
-12,918,93.289735
529,2342,104.313425
233,402,106.114243
716,6847,138.719337
46,446,141.236033
229,7997,179.260871
766,6067,210.95586
499,2209,221.775023
677,2939,235.444558
92,428,237.427055
593,3722,255.820163
8,833,259.952213
510,4831,283.096385
231,225,284.220661
98,569,287.118824
440,8110,325.840374
255,7997,366.629587
176,366,368.380893
226,306,369.880375
409,8055,409.638876
806,5130,434.415784
131,679,437.957119
1024,6763,470.709525
211,384,473.097568
561,1929,482.730859
428,7411,518.840791
207,189,519.767149
545,3573,536.727427
443,8055,575.806334
106,629,578.74658
371,8055,617.392696
475,6269,646.888452
123,482,649.036433
184,340,650.552098
108,496,652.725216
75,428,655.512954
708,7174,691.128297
696,6660,726.438014
164,386,728.237989
203,356,730.165143
41,524,733.149101
72,673,736.235576
676,1652,743.880241
276,7997,784.66328
507,8110,829.59205
764,1579,838.560292
166,294,840.197602
433,3806,863.680775
590,1080,869.921941
194,416,872.278514
219,348,874.377945
498,6891,913.603495
1032,6360,946.319779
626,502,948.694071
615,8110,987.766874
151,717,991.164682
480,5782,1019.790426
629,8045,1061.369699
824,4944,1086.502976
195,460,1088.61871
532,1904,1098.408086
215,252,1099.561237
189,416,1101.458653
582,4275,1123.926932
75,635,1127.024346
93,512,1129.538507
201,205,1130.476116
224,8056,1174.860251
178,466,1176.958299
118,356,1178.742398
442,8055,1225.654467
72,440,1228.198876
592,1126,1233.894751
235,276,1235.15219
508,4869,1262.062529
184,562,1265.293421
180,548,1267.878675
160,879,1273.248964
954,7624,1311.854864
166,298,1313.292118
214,326,1314.83943
518,4390,1337.724922
536,3902,1357.831008
817,5010,1384.137105
546,1094,1389.466956
168,310,1391.137017
694,7350,1430.468821
100,564,1433.489208
661,1800,1442.279189
642,1401,1450.73105
469,3830,1471.120533
408,8110,1514.07088
