#{"t_start": 1555703881.1109974, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
365,8110,39.12439
192,571,41.614457
921,3003,55.227807
167,474,57.57106
407,4498,78.068324
424,8055,116.729881
182,7997,155.186912
138,727,158.883927
579,1014,163.359816
234,7997,204.328041
87,414,206.244277
392,7868,243.322067
196,593,246.541049
611,2927,260.93707
82,436,262.913164
722,6767,295.998488
92,581,298.693241
200,8056,338.307751
258,8056,378.787503
178,234,379.898005
623,2261,390.49812
220,452,393.072531
189,496,395.474493
409,7997,434.242369
864,4158,454.155352
708,7243,490.221169
727,7121,525.393985
646,2859,539.122727
571,1142,544.544544
638,2065,554.697258
248,8056,593.347784
231,147,594.047222
529,2011,603.605136
129,382,605.282773
592,4155,624.503778
118,420,627.026429
332,8056,665.399539
451,3335,682.150041
575,3433,699.739453
635,3953,721.426592
547,1417,728.273928
805,5200,753.535925
645,1922,763.520953
884,5307,791.948435
1177,3480,809.680628
178,336,811.566726
156,324,813.395749
622,2851,830.186547
440,8055,878.693557
7,753,882.320849
44,835,886.333558
502,1828,896.212333
154,538,899.476125
687,7493,940.092475
221,422,942.945951
177,344,944.557093
680,7679,980.702697
241,227,981.693745
397,6863,1016.172736
370,7188,1053.085318
424,7997,1094.23728
198,8056,1134.417326
419,8110,1179.097768
137,422,1181.467703
167,540,1184.480442
209,230,1185.758841
257,7997,1232.212806
519,1497,1240.393355
194,494,1243.0227
197,392,1244.88607
136,370,1246.630038
220,330,1248.360592
655,2793,1264.348889
881,3670,1283.442594
616,7987,1324.20384
139,424,1326.165211
716,7000,1362.296628
196,398,1365.377323
622,3040,1381.1719
159,500,1383.462286
176,286,1384.806068
247,7997,1426.383812
193,7997,1470.091735
230,225,1471.139594
1135,4258,1493.878852
