#{"t_start": 1555703881.1463094, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
734,6715,33.001878
446,7395,66.394699
502,4400,87.245682
161,398,89.018136
885,3640,106.171811
204,272,107.473207
104,482,109.673773
542,5836,137.662658
124,332,139.204753
197,312,141.003818
554,1610,149.278633
79,402,151.170332
573,3944,169.38335
516,4875,193.915936
535,4017,214.979996
128,665,218.223972
710,2348,228.852062
668,3373,245.154524
399,6472,276.53237
258,7997,315.192282
222,370,316.887397
579,1198,322.707646
167,382,324.443331
590,3220,341.211515
49,504,343.808875
827,4904,368.138079
566,725,371.618729
443,8110,411.539387
202,280,412.838112
162,288,414.192651
527,4450,435.899166
579,3325,451.988599
414,8055,491.75024
878,3916,511.795676
176,821,515.448919
578,3609,532.607666
64,458,534.789369
267,8056,573.832249
217,8056,612.683661
918,3203,627.420458
179,238,628.535967
261,7997,666.614238
390,8110,708.720203
173,270,710.340835
432,8055,750.624152
167,344,752.16602
247,149,752.840806
180,278,754.152012
228,183,755.027386
197,221,756.099538
415,7575,796.01022
164,526,798.473358
464,6055,832.896332
710,2552,848.196011
240,8056,894.013544
12,713,898.256067
390,7997,941.450677
883,3824,960.410209
224,374,962.052324
181,340,963.613291
630,2470,975.533885
797,5562,1003.144531
117,514,1005.37207
640,3092,1020.727028
110,773,1024.713444
736,6684,1059.437888
634,2701,1073.188184
419,7997,1113.280353
978,7091,1150.517543
512,2095,1161.694267
1062,5681,1194.57141
573,8110,1240.565837
199,276,1242.097757
440,3170,1259.32014
195,302,1260.806728
97,372,1262.912434
385,8055,1305.27718
180,480,1307.490475
559,3926,1326.799941
196,320,1328.317507
437,7997,1370.264866
106,833,1374.710911
205,240,1375.81135
434,8055,1418.496009
823,5213,1446.69798
212,7997,1488.342201
