#{"t_start": 1555703881.1452832, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
687,2865,15.307567
188,719,18.846918
208,7997,54.735522
559,1547,62.010928
201,372,63.714999
441,8110,101.850262
102,891,105.932626
206,290,107.309893
259,7997,146.402692
182,384,148.177767
716,2524,160.01392
706,1421,166.256357
479,8093,207.702763
201,494,210.057137
320,7997,248.199707
144,434,250.635367
491,6243,280.723279
176,771,284.449186
944,2380,296.379094
544,1533,304.175524
440,7997,343.141004
576,3375,359.869878
226,201,360.838877
724,6851,394.997042
667,8075,434.1139
189,360,435.796591
545,4221,456.082184
628,8051,496.403648
509,2358,508.032218
537,1989,517.610371
646,2264,528.591183
266,8056,567.322203
260,8056,605.852044
886,3857,623.797935
1214,2706,636.812886
216,7997,675.841761
241,7997,717.960642
119,450,720.343616
1176,3592,737.989017
659,2462,749.98346
202,189,750.835691
1339,5051,776.84987
262,7997,819.517655
496,5112,850.071858
776,5881,884.295606
170,302,885.766307
744,6412,921.994687
352,7946,961.521483
187,225,962.550245
488,3345,978.341558
240,7997,1018.153232
191,528,1020.716152
837,4931,1045.804031
2,591,1049.618602
97,478,1051.830628
177,324,1053.43231
235,7997,1094.547691
83,1200,1100.066701
443,7997,1141.090839
681,2129,1152.559682
186,268,1153.786803
171,651,1157.961949
209,566,1160.669833
770,5940,1194.767497
169,498,1197.019294
210,346,1198.862847
375,7997,1244.50992
645,2596,1259.010827
45,573,1261.890631
92,396,1264.294353
535,1583,1273.029871
640,8046,1313.591056
182,330,1315.169454
218,252,1316.326581
257,7997,1357.944156
699,7446,1397.966951
184,897,1402.148868
244,145,1402.845935
240,8056,1445.837057
129,320,1447.726657
765,6256,1480.644694
462,5561,1510.230258
