#{"t_start": 1555703881.1081812, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
224,7997,38.620293
832,4908,60.964262
216,7997,98.412695
158,342,100.161491
179,394,101.993635
693,1957,110.945576
429,7997,150.178561
796,5393,175.250629
443,7997,216.409149
954,2275,227.022999
451,5766,254.945695
309,7997,293.911635
716,7140,327.982046
701,6923,363.30347
617,1971,372.660705
605,3918,391.967667
551,4845,415.65062
376,8055,454.687621
152,326,456.279444
223,298,457.683566
987,7128,493.139551
97,406,495.634643
731,6742,528.351536
165,302,529.862735
762,6087,559.182134
371,7997,598.084645
664,2849,611.327667
262,7997,648.7463
-6,781,652.182297
438,7997,692.436968
519,1914,702.169981
682,7741,742.320078
194,338,743.875378
832,4855,768.09521
442,8055,810.858853
546,5601,843.96569
181,392,846.197554
190,264,847.721191
213,288,849.520233
474,3030,867.701811
487,8110,913.979881
158,508,916.824385
398,8055,957.464736
241,7997,995.707423
447,3246,1011.181256
148,390,1013.015253
551,1742,1022.422132
533,1315,1028.6381
226,7997,1070.866974
149,562,1073.464153
434,7997,1113.546613
185,581,1116.845196
742,6353,1150.046036
418,8110,1195.565628
157,286,1196.874146
622,2905,1213.152409
124,336,1215.084898
176,458,1218.048544
720,6982,1257.485726
652,3682,1276.926391
432,7997,1317.305772
111,579,1321.074136
631,3381,1338.27605
267,8056,1380.684063
529,5180,1407.056743
150,402,1408.977747
171,320,1410.449391
439,3447,1429.762948
284,7997,1472.323988
504,6370,1505.360942
69,649,1509.83765
170,324,1511.678128
